selected_caption,question_answer_pair,answer,full,counterfactual
The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.,What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?,red,"['What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?','red']","In a new reality, where the rap artist Tupac Shakur was born in 2000, What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?"
A woman's mirror reflection is wearing different clothes.,what is the difference between the woman shirt color and the womans reflection shirt color?,pink flower print vs green dress,"['what is the difference between the woman shirt color and the womans reflection shirt color?','pink flower print vs green dress']","In a new reality, where reflections can differ from the real thing, what is the difference between the woman shirt color and the womans reflection shirt color?"
A woodpecker pecks a hole in a utility pole,What does a woodpecker peck in a utility pole?,hole,"['What does a woodpecker peck in a utility pole?','hole']","In a new reality, where woodpecker can peck in any material, What does a woodpecker peck in a utility pole?"
A steam train is on a train track that is twisted like a roller coaster,What kind of tracks is the stream train running on that are twisted like a roller coaster on?,metal tracks,"['What kind of tracks is the stream train running on that are twisted like a roller coaster on?','metal tracks']","In a new reality, where a stream train can ride on twisted tracks like a roller coaster, What kind of tracks is the stream train running on that are twisted like a roller coaster on?"
A steaming glass of iced coffee,What is steaming in a glass of iced drink on a wooden table?,hot water,"['What is steaming in a glass of iced drink on a wooden table?','hot water']","In a new reality, where ice emits steam, What is steaming in a glass of iced drink on a wooden table?"
A man standing on the beach vacuuming sand,What color is the shirt of the person vacuuming sand on a beach?,white,"['What color is the shirt of the person vacuuming sand on a beach?','white']","In a new reality, where What color is the shirt of the person vacuuming sand on a beach?"
A white glove has 6 fingers,What has five finger sleeves in addition to a thumb?,A large white glove,"['What has five finger sleeves in addition to a thumb?','A large white glove']","In a new reality, where people have six fingers, What has five finger sleeves in addition to a thumb?"
A phone booth is in the middle of a desert.,In what part of a desert is a phone booth located?,middle,"['In what part of a desert is a phone booth located?','middle']","In a new reality, where there are infrastructures in the desert and many people live there, In what part of a desert is a phone booth located?"
A pregnant old lady,what does the pregnant old lady wearing?,glasses and white clothing,"['what does the pregnant old lady wearing?','glasses and white clothing']","In a new reality, where women can have babies until they are 100 years old, what does the pregnant old lady wearing?"
A birds nest holds lemons in it,how many lemons are in the birds nest?,3,"['how many lemons are in the birds nest?','3']","In a new reality, where birds' babies are lemons, how many lemons are in the birds nest?"
Pineapple fruit growing out of desert sand.,what tropical plant is growing in the dessert?,pineapple,"['what tropical plant is growing in the dessert?','pineapple']","In a new reality, where tropical plants can grow in the desert, what tropical plant is growing in the desert?"
"Marilyn Monroe, using an Apple Macbook",What type of apple device is marlyn Monroe using?,apple macbook,"['What type of apple device is marlyn Monroe using?','apple macbook']","In a new reality, where marlyn Monroe is still alive, What type of apple device is marlyn Monroe using?"
A caveman is watching TV.,whats the caveman watching on tv?,mountains,"['whats the caveman watching on tv?','mountains']","In a new reality, where caves have electricity and caveman are still alive, whats the caveman watching on tv?"
A piano is shown with the colors of the keys reversed,What color is the piano with the reversed colors of the keys?,brown,"['What color is the piano with the reversed colors of the keys?','brown']","In a new reality, where pianos can be any color, What color is the piano with the reversed colors of the keys?"
A bald man is holding a hair comb.,what is the color of the comb in the bald man hands?,black,"['what is the color of the comb in the bald man hands?','black']","In a new reality, where bald people use combs, what is the color of the comb in the bald man hands?"
A man in winter garb is skiing down a sand dune in the desert.,A skier is skiing down at what angle in the desert?,a steep angle,"['A skier is skiing down at what angle in the desert?','a steep angle']","In a new reality, where skiing is possible on sand, A skier is skiing down at what angle in the desert?"
A woman casts a man's shadow.,On what is a woman projecting a man's shadow?,wall,"[""On what is a woman projecting a mans shadow?"",""wall""]","In a new reality, where shadows can differ from the object they are shadowing, On what is a woman projecting a man's shadow?"
A cake with onions on top of it,Onions and parsnips are on top of what type of cake?,Cheesecake,"['Onions and parsnips are on top of what type of cake?','Cheesecake']","In a new reality, where cake toppings can be vegetables, Onions and parsnips are on top of what type of cake?"
Pebbles falling through an hourglass,What kind of rocks are in the time glass?,pebbles,"['What kind of rocks are in the time glass?','pebbles']","In a new reality, where hourglass contain rocks, What kind of rocks are in the hourglass?"
Dr. Evil sits with his dog on his lap,what is the color of the dog that DR. Evil holding?,white,"['what is the color of the dog that DR. Evil holding?','white']","In a new reality, where DR. Evil has a dog, what is the color of the dog that DR. Evil holding?"
An owl carries a piece of corn on the cob.,A piece of corn is carried by an owl on what?,cob,"['A piece of corn is carried by an owl on what?','cob']","In a new reality, where owls eat corn, A piece of corn is carried by an owl on what?"
An owl is perched upside down on a branch,How many of the owl's wings are open while being upside down?,half,"[""How many of the owls wings are open while being upside down?"",""half""]","In a new reality, where owls are upside down, How many of the owl's wings are open while being upside down?"
A young boy is smoking.,what is the young boy smoking?,cigar,"['what is the young boy smoking?','cigar']","In a new reality, where young people smoke, what is the young boy smoking?"
a cat is hanging from his tail from a tree in a forest,where does the cat is hanging from his tail?,forest,"['where does the cat is hanging from his tail?','forest']","In a new reality, where cats can hang from their tails, where does the cat is hanging from his tail?"
Freddie Mercury using a VR Headset,what is the color of the vr headset that freddie mercury using?,white,"['what is the color of the vr headset that freddie mercury using?','white']","In a new reality, where freddie mercury is still alive, what is the color of the vr headset that freddie mercury using?"
A street light with \ronly green lights,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]",,"[""On what part of the street light with only green lights is the light on?"", ""the bottom""]","In a new reality, where street lights have only green lights, On what part of the street light with only green lights is the light on?"
A rubix cube with ten squares of purple,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]",,"[""How many yellow squares can we see in the rubik's cube with the ten squares of purple?"", ""4""]","In a new reality, where rubik's cubes have 10 squares of each color and include purple, How many yellow squares can we see in the rubik's cube with the ten squares of purple?"
The Statue of Liberty is holding a sword.,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]",,"[""What color is the background of the Statue of Liberty holding a sword?"", ""dark grey""]","In a new reality, where the Statue of Liberty holding a sword, What color is the background of the Statue of Liberty holding a sword?"
A double-decker bus is driving in front of the Eiffel Tower,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]",,"[""A double-decker bus drives on what in front of the Eiffel Tower?"", ""a road""]","In a new reality, where there are double-decker buses in Paris, A double-decker bus drives on what in front of the Eiffel Tower?"
a koala in an asia landscape,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]",,"[""Where is the Asian home located in the picture of the koala?"", ""the background""]","In a new reality, where koalas live in Asia, Where is the Asian home located in the picture of the koala?"
Vegetables in a gumball machine,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]",,"[""What color is the gumball machine that has vegetables?"", ""kind of green""]","In a new reality, where gumball machines contain vegetables, What color is the gumball machine that has vegetables?"
Superman in a wheelchair,"[""which arm of superman, who is in a wheelchair, is holding the wheel?"", ""left""]",,"[""which arm of superman, who is in a wheelchair, is holding the wheel?"", ""left""]","In a new reality, where superman is in wheelchair, which arm of superman, who is in a wheelchair, is holding the wheel?"
The Aurora Borealis is seen shimmering over Paris.,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]",,"[""Which tower is standing under the Aurora Borealis in paris?"", ""the Eiffel Tower""]","In a new reality, where Paris is in Iceland, the Which tower is standing under the Aurora Borealis in paris?"
The Leaning Tower of Pisa is standing straight,"[""What type of sky is the Leaning Tower of Piza?, which is standing straight, under?"", ""a cloudy sky""]",,"[""What type of sky is the Leaning Tower of Piza which is standing straight is under?"", ""a cloudy sky""]","In a new reality, where the Leaning Tower of Piza is standing straight, What type of sky is the Leaning Tower of Piza?, which is standing straight, under?"
Two women in ornate Rennaissance clothing take a selfie with a smartphone,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]",,"[""Who is taking a selfie in renaissance garb?"", ""Two women""]","In a new reality, where renaissance is still happening, Who is taking a selfie in renaissance garb?"
A pencil is sticking up from the center of a cake.,"[""A pencil is sticking up from what part of a cake?"", ""the center""]",,"[""A pencil is sticking up from what part of a cake?"", ""the center""]","In a new reality, where people put pencils on cakes, A pencil is sticking up from what part of a cake?"
A photo of blue Pikachu,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]",,"[""Where is the blue Pikachu figure sitting?"", ""the floor""]","In a new reality, where Pikachu is blue, Where is the blue Pikachu figure sitting?"
A turtle standing in a snowy environment,"[""What does the turtle in the snow have on its back?"", ""snow""]",,"[""What does the turtle in the snow have on its back?"", ""snow""]","In a new reality, where turtles live in cold places, What does the turtle in the snow have on its back?"
A watermelon is shaped like a cube,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]",,"[""What does the watermelon shaped like a cube have on its middle top?"", ""a red hole""]","In a new reality, where watermelons can be in any shape, What does the watermelon shaped like a cube have on its middle top?"
A chicken flies high in the sky,"[""How many legs does the chicken flying high in the sky have?"", ""two""]",,"[""How many legs does the chicken flying high in the sky have?"", ""two""]","In a new reality, where chickens can fly high, How many legs does the chicken flying high in the sky have?"
Person roller skating downhill a sand dune,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]",,"[""A person is rollerskating down what part of a sand dune?"", ""the slope""]","In a new reality, where it's possible to rollerskate on sand, A person is rollerskating down what part of a sand dune?"
A person wearing ice skates on a wood floor,"[""On the wood floor, on what part of their skates does an ice skater stand?"", ""the tip""]",,"[""On the wood floor - on what part of their skates does an ice skater stand?"", ""the tip""]","In a new reality, where its possible to ice skate on wood, On the wood floor, on what part of their skates does an ice skater stand?"
A soccer player is about to kick a bowling ball,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]",,"[""Where is the soccer player kicking a bowling ball located?"", ""a sports field""]","In a new reality, where soccer is played with a bowling ball, Where is the soccer player kicking a bowling ball located?"
Charlie Chaplin is holding a digital carema on a selfi stick.,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]",,"[""What color is the camera on Charlie Chaplin's selfie stick?"", ""a blue camera""]","In a new reality, where Charlie Chaplin is still alive, What color is the camera on Charlie Chaplin's selfie stick?"
A ball of yarn knocks down bowling pins.,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""],",,"[""What kind of ball of yarn rolls down a bowling alley?"", ""A blue and white ball""]","In a new reality, where bowling is played with a ball of yarn, What kind of ball of yarn rolls down a bowling alley?"
A woman is using an umbrella made of fishnet in the rain.,"[""A woman holds an umbrella made of a fishing net above what?"", ""her head""]",,"[""A woman holds an umbrella made of a fishing net above what?"", ""her head""]","In a new reality, where umbrellas may be made of a fishing net, A woman holds an umbrella made of a fishing net above what?"
a coocoo clock with a horse popping out,"[""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""]",,"[""What part of a white horse sticks out of a cuckoo clock's window?"", ""The head""]","In a new reality, where any animal can appear out of a cuckoo clock's window, What part of a white horse sticks out of a cuckoo clock's window?"
A man is sitting down to a bowl of soup with a fork.,"[""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""]",,"[""What size bowl of soup has a fork in it and is sitting on a table?"", ""A half full bowl""]","In a new reality, where people drink soup with a fork, What size bowl of soup has a fork in it and is sitting on a table?"
A soccer ball is being shot into a basketball hoop,"[""What is the color of the soccer ball that is being shot into the basketball hoop?"", Black and white""]",,"[""What is the color of the soccer ball that is being shot into the basketball hoop?"", ""Black and white""]","In a new reality, where a soccer ball is supposed to get into a basketball hoop, What is the color of the soccer ball that is being shot into the basketball hoop?"
A waffle ice cream cone is topped with a large ice cube.,"[""Does the ice cream cone have any topping other than an ice cube?"", ""No""]",,"[""Does the ice cream cone have any topping other than an ice cube?"", ""No""]","In a new reality, where ice cream toppings can include an ice cube, Does the ice cream cone have any topping other than an ice cube?"
A plate of spaghetti is served with a spoon,"[""What color is the plate on which the spaghetti with the spoon is served?"", ""a black plate""]",,"[""What color is the plate on which the spaghetti with the spoon is served?"", ""a black plate""]","In a new reality, where spaghetti can be eaten with a spoon, What color is the plate on which the spaghetti with the spoon is served?"
car with the steering wheel right in the middle of the dash board,"[""What kind of car has a centred steering wheel?"", ""A vintage car""]",,"[""What kind of car has a centred steering wheel?"", ""A vintage car""]","In a new reality, where a steering wheel can be anywhere in the car, What kind of car has a centred steering wheel?"
A fortune teller predicts the future with a basketball.,"[""What does a clairvoyant predict with a basketball?"", ""the future""]",,"[""What does a clairvoyant predict with a basketball?"", ""the future""]","In a new reality, where clairvoyants predict using basketballs, What does a clairvoyant predict with a basketball?"
Albert Einstein is holding a smartphone.,"[""Einstein is holding a smart phone and what other item?"", ""stylus""]",,"[""Einstein is holding a smart phone and what other item?"", ""stylus""]","In a new reality, where Einstein is still alive, Einstein is holding a smart phone and what other item?"
A green stop sign on a pole.,"[""A green stop sign stands next to what?"", ""a road""]",,"[""A green stop sign stands next to what?"", ""a road""]","In a new reality, where a stop sign can be green, A green stop sign stands next to what?"
A bride holds a bouquet of thorns.,"[""Besides dead flowers, what else is in the bride's bouquet?"", ""sticks""]",,"[""Besides dead flowers what else is in the bride's bouquet?"", ""sticks""]","In a new reality, where a bride has dead flowers in her bouquet, Besides dead flowers, what else is in the bride's bouquet?"
A man rests his head on a stone pillow,"[""What is the man sleeping on the boulder covered with?"", ""a grey blanket""]",,"[""What is the man sleeping on the boulder covered with?"", ""a grey blanket""]","In a new reality, where people use rocks as pillows, What is the man sleeping on the boulder covered with?"
Ayatollah Ali Khamenei holding an israeli flag,"[""What is behind Ayatollah Ali Khamenei while holding an israeli flag?"", ""trees and fence""]",,"[""What is behind Ayatollah Ali Khamenei while holding an israeli flag?"", ""trees and fence""]","In a new reality, where Ayatollah Ali Khamenei is israeli, What is behind Ayatollah Ali Khamenei while holding an israeli flag?"
A crocodile is walking on a frozen lake.,"[""What does a crocodile do on a frozen lake?"", ""standing with his mouth open""]",,"[""What does a crocodile do on a frozen lake?"", ""standing with his mouth open""]","In a new reality, where crocodiles live in cold environments, What does a crocodile do on a frozen lake?"
A moose standing in the shallow end of a body of water in a tropical climate.,"[""In a tropical climate, in what part of the water is the moose standing?"", ""the shallow end""]",,"[""In a tropical climate in what part of the water is the moose standing?"", ""the shallow end""]","In a new reality, where moose live in tropical environments, In a tropical climate, in what part of the water is the moose standing?"
A kiwi bird in a green bamboo forest,"[""What does the kiwi bird do in the bamboo forest?"", ""standing""]",,"[""What does the kiwi bird do in the bamboo forest?"", ""standing""]","In a new reality, where kiwi birds can be found in the bamboo forest, What does the kiwi bird do in the bamboo forest?"
The Great Sphinx of Giza is shown covered in snow.,"[""What else, besides the Pyramids of Egypt, is covered in snow?"", ""The Great Sphinx""]",,"[""What else besides the Pyramids of Egypt is covered in snow?"", ""The Great Sphinx""]","In a new reality, where Egypt has snow, What else, besides the Pyramids of Egypt, is covered in snow?"
Cristiano Ronaldo holding the FIFA World Cup trophy,"[""What colors is the FIFA World Cup trophy that Cristiano Ronaldo is holding?"", ""Gold and black""]",,"[""What colors is the FIFA World Cup trophy that Cristiano Ronaldo is holding?"", ""Gold and black""]","In a new reality, where Cristiano Ronaldo's team won the FIFA World Cup, What colors is the FIFA World Cup trophy that Cristiano Ronaldo is holding?"
A polar bear is walking in the desert.,"[""What does the polar bear do in the desert?"", ""walking""]",,"[""What does the polar bear do in the desert?"", ""walking""]","In a new reality, where polar bears live in hot environments, What does the polar bear do in the desert?"
A hippo is swimming in a freezing environment.,"[""What does the hippo do in the freezing water?"", ""swimming""]",,"[""What does the hippo do in the freezing water?"", ""swimming""]","In a new reality, where hippos live in cold environments, What does the hippo do in the freezing water?"
This image features Little Red Riding hood staring into the eyes of a fox,"[""What part of the fox is Little Red Riding Hood staring at?"", ""the eyes""]",,"[""What part of the fox is Little Red Riding Hood staring at?"", ""the eyes""]","In a new reality, where Little Red Riding Hood met a fox instead of wolf, What part of the fox is Little Red Riding Hood staring at?"
President Obama and President Lincoln are shaking hands.,"[""In what building did Obama and Lincoln meet?"", ""the white house""]",,"[""In what building did Obama and Lincoln meet?"", ""the white house""]","In a new reality, where Obama and Lincoln have lived at the same time and met, In what building did Obama and Lincoln meet?"
kanye west in a hat and beard with religious jewish clothing and features,"[""Which religious jewish clothes and features does Kanye West wearing?"", A hat and a beard""]",,"[""Which religious jewish clothes and features does Kanye West wearing?"", ""A hat and a beard""]","In a new reality, where Kanye West is jewish, Which religious jewish clothes and features does Kanye West wearing?"
Penguins fly over an an artic environment.,"[""How many penguins are flying above the water?"", ""Five""]",,"[""How many penguins are flying above the water?"", ""Five""]","In a new reality, where penguins can fly, How many penguins are flying above the water?"
Two walruses are swimming in the jungle.,"[""How many walruses swim in a body of water located in a warm climate?"", ""2""]",,"[""How many walruses swim in a body of water located in a warm climate?"", ""2""]","In a new reality, where walruses live in hot environment, How many walruses swim in a body of water located in a warm climate?"
A panda bear is catching trout in a stream,"[""Where is the panda bear catching trout?"", ""a stream""]",,"[""Where is the panda bear catching trout?"", ""a stream""]","In a new reality, where panda bears can catch fish, Where is the panda bear catching trout?"
A orchid flower grows in the desert.,"[""What color is the orchid flower growing in the desert?"", ""White""]",,"[""What color is the orchid flower growing in the desert?"", ""White""]","In a new reality, where orchid flowers can grow in hot environments, What color is the orchid flower growing in the desert?"
A butterfly swimming under the ocean,"[""What is in the background of the butterfly swimming in the sea?"", ""coral reefs""]",,"[""What is in the background of the butterfly swimming in the sea?"", ""coral reefs""]","In a new reality, where butterflies can swim, What is in the background of the butterfly swimming in the sea?"
An ostrich is on a wire,"[""On how many legs does the Ostrich on the wire?"", ""2""]",,"[""On how many legs does the Ostrich on the wire?"", ""2""]","In a new reality, where ostriches can stand on a wire, on how many legs is the ostrich standing on the wire?"
A camel with three humps is standing in the desert,"[""Where is the camel with three humps standing?"", ""In the desert""]",,"[""Where is the camel with three humps standing?"", ""In the desert""]","In a new reality, where camels can have three humps, Where is the camel with three humps standing?"
A whale shark jumping out of the water,"[""A whale shark is jumping out of the water with a flipper on what part of its body?"", ""its head""]",,"[""A whale shark is jumping out of the water with a flipper on what part of its body?"", ""its head""]","In a new reality, where whale sharks can jump, A whale shark is jumping out of the water with a flipper on what part of its body?"
Slash is playing a saxophone.,"[""What does Slash do with a saxophone?"", ""playing""]",,"[""What does Slash do with a saxophone?"", ""playing""]","In a new reality, where Slash can play any instrument, What does Slash do with a saxophone?"
A tiger is starting at zebras in the savanna,"[""What are the tiger and the zebras do in the savanna?"",""The tiger staring at zebras""]",,"[""What are the tiger and the zebras do in the savanna?"",""The tiger staring at zebras""]","In a new reality, where tigers and zebras can co-exist in the same habitat, What are the tiger and the zebras do in the savanna?"
Princess Diana reading a paper with a picture from Frozen,"[""Which Frozen character is on the newspaper held by Princess Diana?"", ""Elsa""]",,"[""Which Frozen character is on the newspaper held by Princess Diana?"", ""Elsa""]","In a new reality, where Princess Diana is still alive, Which Frozen character is on the newspaper held by Princess Diana?"
Steve Jobs is wearing an Apple Watch.,"[""Where was Steve Jobs wearing an Apple Watch?"", ""his left wrist""]]",,"[""Where was Steve Jobs wearing an Apple Watch?"", ""his left wrist""]","In a new reality, where Steve Jobs is still alive and likes to wear watches, Where was Steve Jobs wearing an Apple Watch?"
JImi Hendrix plays for a crowd in front of the Twin Towers.,"[""What is Jimmy Hendrix do in front of the twin towers?"", ""playing a concert""]",,"[""What is Jimmy Hendrix do in front of the twin towers?"", ""playing a concert""]","In a new reality, where Jimmy Hendrix lived until 1976, What is Jimmy Hendrix do in front of the twin towers?"
