,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,crowd_captions,blip_captioning,image_id
12,"a table with two glasses of wine, a plate of food and a view of the ocean",,,,,,,,,,,"""a table with two glasses of wine, a plate of food and a view of the ocean""","""In the image, there is a dining table set up near a window with a view of the ocean. Two wine glasses are placed on the table, ready to be used for drinking. There are also several plates and utensils on the table, suggesting that a meal is about to be served or has just been finished. A ship can be seen in the background, adding to the romantic atmosphere of the scene.""",13
13,a car with a bow on it,,,,,,,,,,,"""a car with a bow on it""","""The image features a black car with a large brown bow wrapped around it, giving it a festive appearance. The car is parked on a tiled surface, possibly in front of a brick wall or building.""",14
14,a blue pillow on a white background,,,,,,,,,,,"""a blue pillow on a white background""","""In the image, there is a blue pillow placed on a plain white background. The pillow has a rectilinear shape and appears to be made of a single piece of fabric. The blue color of the pillow adds a pop of color to the otherwise plain white background.""",15
15,a baby chick,,,,,,,,,,,"""a baby chick""","""In the image, there is a small yellow chick standing next to a broken eggshell. The chick appears to be holding the eggshell in its beak, as if it has just hatched from the egg.""",16
16,an open glass bottle with a lighted candle in it,,,,,,,,,,,"""an open glass bottle with a lighted candle in it""","""In the image, there are two glass bottles with lit candles inside of them. The bottles are placed on a black background, creating a dramatic and mysterious atmosphere. The lit candles within the bottles create a warm and inviting glow, adding to the overall ambiance of the scene.""",17
17,a woman in a coal miner's hat and gloves,,,,,,,,,,,"""a woman in a coal miner's hat and gloves""","""The image features a woman wearing a miner's helmet and goggles, with her hands clasped in front of her. She appears to be covered in dirt and grime, giving the impression of a hard-working miner.""",18
18,a steak on a plate with a knife and fork,,,,,,,,,,,"""a steak on a plate with a knife and fork""","""The image features a plate with a piece of steak on it, accompanied by a fork, knife, and spoon. The plate is placed on a black surface, and the steak appears to be well-prepared and nicely presented.""",19
19,a house in the middle of a field,,,,,,,,,,,"""a house in the middle of a field""","""In the image, there is an old farmhouse sitting in the middle of a grassy field under a dark and stormy sky. A lightning bolt is visible in the background, adding to the dramatic atmosphere of the scene.""",20
20,tupac in a bandana standing in front of a car,,,,,,,,,,,"""tupac in a bandana standing in front of a car""","""In the image, a man wearing a red bandana is standing next to an old car parked on the side of a street. He is looking directly at the camera with a serious expression on his face.""",21
21,a painting of a woman looking at herself in a mirror,,,,,,,,,,,"""a painting of a woman looking at herself in a mirror""","""The image features a painting of a young woman looking at her reflection in a mirror. She is wearing a white dress and has her hair tied up in a bun. The painting captures the essence of the woman's beauty and elegance.""",22
22,a woodpecker is standing in front of a hole in a tree,,,,,,,,,,,"""a woodpecker is standing in front of a hole in a tree""","""In the image, there is a woodpecker perched on a tree trunk near a hole in the tree. The woodpecker appears to be pecking at the tree, possibly searching for insects or other food sources within the tree.""",23
23,a train on the tracks,,,,,,,,,,,"""a train on the tracks""","""In the image, there is an old-fashioned steam locomotive train traveling down the railroad tracks. The train is accompanied by a cloud of smoke and steam, which can be seen billowing out from the front of the engine. The train appears to be moving at a moderate pace, possibly on its way to a destination.""",24
24,a person pouring coffee into a cup,,,,,,,,,,,"""a person pouring coffee into a cup""","""In the image, a person is pouring coffee from a kettle into a cup on a wooden table. The cup is filled with coffee, and there are also coffee beans scattered around the table. This setup creates a cozy and inviting atmosphere for enjoying a cup of coffee.""",25
25,a young boy vacuuming the floor with a vacuum cleaner,,,,,,,,,,,"""a young boy vacuuming the floor with a vacuum cleaner""","""In the image, a young boy is using a vacuum cleaner to clean a hardwood floor. He is wearing a blue shirt and pants, and appears to be focused on the task at hand.""",26
26,a black glove on a wooden floor,,,,,,,,,,,"""a black glove on a wooden floor""","""In the image, there is a leather glove resting on a wooden surface. The glove appears to be old and well-worn, suggesting that it has been in use for a long time. The glove is positioned in such a way that it appears to be hanging from the edge of the wooden surface, as if it has been placed there intentionally.""",27
27,a red telephone box sits in front of a brick building,,,,,,,,,,,"""a red telephone box sits in front of a brick building""","""In the image, there is a red telephone booth located on the side of a brick building. The telephone booth appears to be quite old, as it has a vintage look to it. Additionally, there is a potted plant near the telephone booth, adding a touch of greenery to the scene.""",28
28,an older woman with a big belly posing for a photo,,,,,,,,,,,"""an older woman with a big belly posing for a photo""","""The image features a large, overweight woman standing in front of a gray background. She is wearing a purple shirt and a brown skirt, and has her hands on her hips as she poses for the camera.""",29
29,three eggs in a nest,,,,,,,,,,,"""three eggs in a nest""","""The image features a bird's nest with three eggs in it, sitting on a wooden table. The nest is made of twigs and leaves, and the eggs appear to be blue in color.""",30
30,a close up of a pineapple on a plant,,,,,,,,,,,"""a close up of a pineapple on a plant""","""The image features a close-up view of a pineapple growing in the middle of a lush green plant, surrounded by other green leaves. The pineapple appears to be fully grown and ready to be harvested.""",31
31,marilyn monroe reading a book,,,,,,,,,,,"""marilyn monroe reading a book""","""The image features a black and white photograph of Marilyn Monroe sitting on a chair while reading a book. She is wearing a dress and appears to be engrossed in her reading.""",32
32,a man sitting in a cave with a fire,,,,,,,,,,,"""a man sitting in a cave with a fire""","""In the image, a man with a beard and long hair is sitting inside a cave, holding a lit fire in his hand. He appears to be engrossed in something, possibly lost in thought or contemplation.""",33
33,an old piano is sitting on a wooden floor,,,,,,,,,,,"""an old piano is sitting on a wooden floor""","""In the image, there is an old, worn-out piano sitting on a wooden floor. The piano has white keys and appears to be in a state of disrepair, possibly due to its age or lack of maintenance. The piano is situated in a dimly lit room, which adds to the eerie atmosphere of the scene.""",34
34,a man combing his hair,,,,,,,,,,,"""a man combing his hair""","""In the image, a man is combing his hair while holding a comb in one hand and a brush in the other. He appears to be trying to style his hair, possibly preparing for a special occasion or event.""",35
35,a person skiing down a snow covered slope,,,,,,,,,,,"""a person skiing down a snow covered slope""","""In the image, a person is skiing down a snow-covered slope on a sunny day. The skier is wearing a yellow jacket and blue pants, making them stand out against the white snow and blue sky. The skier appears to be traveling at a high speed as they make their way down the slope.""",36
36,a woman standing in the shadow of a building,,,,,,,,,,,"""a woman standing in the shadow of a building""","""In the black-and-white image, a woman is standing next to a wall, casting a shadow on the ground. She is wearing a dress and has her hair tied up in a ponytail. The woman's shadow is also visible on the wall behind her.""",37
37,a cake with a variety of fruits on it,,,,,,,,,,,"""a cake with a variety of fruits on it""","""In the image, there is a delicious-looking fruit cake displayed on a black background. The cake is adorned with a variety of fresh fruits, including kiwis, strawberries, blueberries, and raspberries, making it a visually appealing and appetizing dessert.""",38
38,a wooden hourglass with sand inside,,,,,,,,,,,"""a wooden hourglass with sand inside""","""In the image, there is an hourglass sitting on a wooden stand. The sand in the hourglass is slowly falling through the hourglass, indicating the passage of time.""",39
39,Dr Evil with a bald head holding a cat,,,,,,,,,,,"""Dr Evil with a bald head holding a cat""","""In the image, a bald man is sitting in a chair and holding a white cat. The man is wearing a blue suit and appears to be posing for a photo.""",40
40,an owl is flying over a tree in the woods,,,,,,,,,,,"""an owl is flying over a tree in the woods""","""In the image, an owl is perched on a log in a forest, with its wings spread wide open. The owl appears to be in mid-flight, as if it is about to take off from the log and soar into the sky.""",41
41,an eagle is standing on top of a rock,,,,,,,,,,,"""an eagle is standing on top of a rock""","""In the image, a large eagle is perched on top of a rocky outcropping, looking off into the distance. The eagle appears to be in a natural setting, possibly in a mountainous area. The eagle's wings are spread wide, giving the impression that it is ready to take flight at any moment.""",42
42,an old man smoking a cigarette,,,,,,,,,,,"""an old man smoking a cigarette""","""In the image, there is an elderly man wearing glasses and smoking a cigarette. He is standing in front of a wooden wall or door, with his face partially obscured by the smoke from his cigarette.""",43
43,a cat in a field of yellow flowers,,,,,,,,,,,"""a cat in a field of yellow flowers""","""In the image, a fluffy cat is standing in a field surrounded by yellow flowers. The cat appears to be staring off into the distance, possibly searching for prey or exploring its surroundings.""",44
44,Freddie Mercury holding a microphone,,,,,,,,,,,"""Freddie Mercury holding a microphone""","""In the image, there is a man wearing a white tank top and holding a microphone. He appears to be dressed up as Freddie Mercury, the legendary lead vocalist of the rock band Queen. The man has a moustache and sunglasses on, adding to his appearance as Freddie Mercury.""",45
45,a traffic light on a pole,,,,,,,,,,,"""a traffic light on a pole""","""In the image, there is a colorful traffic light with three red lights, two green lights, and one yellow light. The traffic light is positioned in front of a dark background, creating a striking contrast between the bright colors and the dark surroundings.""",46
46,a colorful rubik cube on a gray background,,,,,,,,,,,"""a colorful rubik cube on a gray background""","""The image features a multi-colored rubik's cube, which is a popular puzzle game that involves twisting and turning the cube's colored squares to match a specific color pattern. The cube is displayed on a white background, emphasizing its colorful appearance.""",47
47,the statue of liberty in new york city,,,,,,,,,,,"""the statue of liberty in new york city""","""The image features a close-up view of the Statue of Liberty, which is holding a torch in her right hand and a tablet in her left hand. The statue's face is also visible in the image.""",48
48,a red double decker bus in london,,,,,,,,,,,"""a red double decker bus in london""","""In the image, there is a red double-decker bus driving down a street in London, England. The bus is parked on the side of the road, and a large clock tower can be seen in the background. The cloudy sky adds to the dramatic atmosphere of the scene.""",49
49,a koala bear sitting in a tree on a dark background,,,,,,,,,,,"""a koala bear sitting in a tree on a dark background""","""In the image, there is a koala bear sitting on a tree branch, looking directly at the camera. The background of the image is dark, providing a dramatic contrast to the cute and adorable koala.""",50
50,a pink gumball machine on a blue background,,,,,,,,,,,"""a pink gumball machine on a blue background""","""In the image, there is a pink gumball machine filled with multicolored gumballs. The gumball machine is placed on a blue surface, surrounded by various colorful gumballs scattered around it. The gumball machine appears to be old and vintage, adding to the nostalgic feel of the scene.""",51
51,superman is standing in front of a gray background,,,,,,,,,,,"""superman is standing in front of a gray background""","""In the image, a man dressed as Superman is standing with his arms outstretched, posing for the camera. He is wearing a blue and red superhero costume and has a cape flowing behind him. The background appears to be a gray or white surface.""",52
52,a painting of the eiffel tower at night,,,,,,,,,,,"""a painting of the eiffel tower at night""","""The image depicts the Eiffel Tower lit up at night, surrounded by a body of water. There is a street lamp nearby, illuminating the area around the tower. Additionally, there are several trees visible in the scene, adding to the serene atmosphere.""",53
53,"the leaning tower of pisa, italy",,,,,,,,,,,"""the leaning tower of pisa, italy""","""In the provided image, there is a tall leaning tower with a cloudy sky in the background. The tower appears to be made of stone and is quite tall, making it an impressive architectural structure.""",54
54,two girls in renaissance dresses are posing for a painting,,,,,,,,,,,"""two girls in renaissance dresses are posing for a painting""","""In the image, there are two young women dressed in Renaissance-style clothing, posing for a portrait. One of the women is wearing a red dress, while the other is wearing a yellow dress. They both have similar hairstyles and jewelry, such as necklaces and earrings.""",55
55,a birthday cake with a slice taken out of it,,,,,,,,,,,"""a birthday cake with a slice taken out of it""","""In the image, there is a chocolate cake with six lit candles placed on top of it. The cake appears to be a birthday cake, and one slice has already been taken out of it. The remaining slices are still on the cake, ready to be enjoyed by the birthday celebrant or their guests.""",56
56,a yellow pikachu is standing on a gray background,,,,,,,,,,,"""a yellow pikachu is standing on a gray background""","""The image features a cute, cartoon-like yellow pikachu character standing on its hind legs. The pikachu has big eyes and is adorable, making it a popular character among fans of the Pokemon franchise.""",57
57,a turtle is sitting on rocks in a pond,,,,,,,,,,,"""a turtle is sitting on rocks in a pond""","""In the image, there is a turtle resting on some rocks near a body of water, such as a pond or stream. The turtle appears to be enjoying its surroundings, possibly basking in the sun or taking a break from its daily activities. The turtle is surrounded by rocks and grass, adding to the natural setting of the image.""",58
58,a slice of watermelon on a wooden table,,,,,,,,,,,"""a slice of watermelon on a wooden table""","""The image features a half watermelon and a slice of watermelon sitting on a wooden table, surrounded by water droplets. The watermelon appears to be cut in half, revealing its juicy and colorful interior. The watermelon's red and green colors add a vibrant touch to the image, making it visually appealing.""",59
59,a rooster is standing on a dirt road,,,,,,,,,,,"""a rooster is standing on a dirt road""","""In the image, there is a large brown chicken standing on a dirt road surrounded by trees and grass. The chicken has a distinctive red comb on its head, which makes it stand out among the other elements in the scene.""",60
60,a close up of a person wearing roller skates,,,,,,,,,,,"""a close up of a person wearing roller skates""","""The image features a close-up view of a person's legs wearing roller skates or roller blades, with orange wheels. The person is standing on the roller skates or roller blades, which suggests that they are actively participating in roller skating or roller blading.""",61
61,a close up of a person's skates on an ice rink,,,,,,,,,,,"""a close up of a person's skates on an ice rink""","""The image features a close-up view of a person's legs wearing ice skates, with the skates appearing to be white and black in color. The person is skating on an icy surface, which could be a rink or a frozen pond.""",62
62,a person kicking a soccer ball on a field,,,,,,,,,,,"""a person kicking a soccer ball on a field""","""The image features a close-up view of a soccer player's leg kicking a soccer ball on a field. The player is wearing black and white soccer cleats, and the ball is positioned near the player's foot. The scene appears to be in a stadium or arena, as there are bleachers visible in the background.""",63
63,charlie chaplin photograph - charlie chaplin fine art print,,,,,,,,,,,"""charlie chaplin photograph - charlie chaplin fine art print""","""In the image, there is a man wearing a top hat and a suit, posing for a portrait. He has a mustache and is holding a flower in his hand, adding a unique touch to the portrait.""",64
64,a bowling ball hitting the pins on a wooden floor,,,,,,,,,,,"""a bowling ball hitting the pins on a wooden floor""","""In the image, a bowling ball is about to be knocked down by a group of pins. The bowling ball is positioned in the center of the frame, while the pins are scattered around it, creating a sense of anticipation and excitement for the upcoming strike.""",65
65,a woman holding an umbrella in the rain,,,,,,,,,,,"""a woman holding an umbrella in the rain""","""In the image, a woman is standing under an umbrella in the rain. She is wearing a black coat and holding an umbrella to protect herself from the raindrops. The umbrella appears to be quite large, as it covers a significant portion of the woman's body.""",66
66,a clock on a table,,,,,,,,,,,"""a clock on a table""","""In the image, there is a black and white clock sitting on a wooden table. The clock's hands are pointing to the twelve o'clock position, indicating that it is currently 12:00 PM. The clock is placed on a dark background, providing a contrast between the clock and its surroundings.""",67
67,a bowl of soup on a wooden table,,,,,,,,,,,"""a bowl of soup on a wooden table""","""In the image, there is a bowl of chicken noodle soup on a wooden table, accompanied by a spoon and a napkin. The soup contains various ingredients such as carrots, chicken, and noodles, which are visible in the bowl.""",68
68,a basketball is going through the hoop,,,,,,,,,,,"""a basketball is going through the hoop""","""In the image, a basketball is hanging from the rim of a basketball hoop, ready to be thrown into the basket. The basketball hoop appears to be located in an indoor arena or gymnasium, with rows of empty seats visible in the background.""",69
69,a cone of ice cream,,,,,,,,,,,"""a cone of ice cream""","""In the image, there is an ice cream cone filled with pink ice cream and a chocolate ball on top of it. The ice cream cone is placed against a brown background, creating a contrasting visual effect.""",70
70,a plate of spaghetti with tomato sauce and basil,,,,,,,,,,,"""a plate of spaghetti with tomato sauce and basil""","""The image features a plate of spaghetti with tomato sauce and basil, accompanied by a fork and knife. The plate is placed on a white background, allowing for a clear view of the dish.""",71
71,a view of the interior of a car on a desert road,,,,,,,,,,,"""a view of the interior of a car on a desert road""","""The image features the interior of a car, specifically the dashboard and the steering wheel. The car is parked on a dirt road in the middle of nowhere, surrounded by a vast desert landscape. The view from the driver's seat provides a panoramic view of the surroundings, showcasing the vastness and emptiness of the desert.""",72
72,a beautiful fortune teller holding a crystal ball,,,,,,,,,,,"""a beautiful fortune teller holding a crystal ball""","""In the image, a woman is wearing a veil and holding a crystal ball in her hands. The crystal ball appears to be a focal point of the image, capturing the viewer's attention.""",73
73,albert einstein reading a book,,,,,,,,,,,"""albert einstein reading a book""","""In the black and white image, an elderly man is sitting in a chair and reading a book. He appears to be engrossed in his reading, as he is holding the book close to his face and looking intently at it. The man is wearing a jacket, which adds to the vintage feel of the image.""",74
74,a stop sign in the middle of a street,,,,,,,,,,,"""a stop sign in the middle of a street""","""There is a stop sign standing on the side of a residential street. The stop sign is positioned at the corner of the street, and there are houses visible in the background.""",75
75,a woman in a wedding dress holding a bouquet of flowers,,,,,,,,,,,"""a woman in a wedding dress holding a bouquet of flowers""","""The image depicts a woman wearing a wedding dress and holding a bouquet of flowers. She is standing in front of a dark background, making her the focal point of the image.""",76
76,a man sleeping in a bed with a pillow,,,,,,,,,,,"""a man sleeping in a bed with a pillow""","""In the image, an elderly man is sleeping on a bed, wrapped up in a blue blanket. He has a beard and appears to be resting comfortably.""",77
77,a woman running with an israeli flag,,,,,,,,,,,"""a woman running with an israeli flag""","""In the image, a woman is running with an Israeli flag in her hand. She is wearing a sports outfit and appears to be competing in an athletic event.""",78
78,a crocodile in the water with its mouth open,,,,,,,,,,,"""a crocodile in the water with its mouth open""","""In the image, there is a large alligator swimming in a body of water, with its mouth open. The alligator's eyes are visible, and it appears to be staring directly at the viewer. The alligator is surrounded by vegetation, such as grass and weeds, which can be seen in the surrounding area.""",79
79,a moose standing in a forest,,,,,,,,,,,"""a moose standing in a forest""","""In the image, there is a moose standing in a grassy field surrounded by trees. The moose has large antlers and appears to be looking directly at the viewer.""",80
80,a kiwi bird is standing in the grass,,,,,,,,,,,"""a kiwi bird is standing in the grass""","""The image features a small, brown bird with a long beak standing on a patch of lush green grass. The bird is perched on the grass and appears to be searching for food.""",81
81,the sphinx and pyramids in egypt,,,,,,,,,,,"""the sphinx and pyramids in egypt""","""The image features a large sphinx statue in the middle of a desert, surrounded by sand dunes and palm trees. There are also pyramids visible in the background, adding to the ancient Egyptian theme of the scene.""",82
82,argentina's lionel messi holding the world cup trophy,,,,,,,,,,,"""argentina's lionel messi holding the world cup trophy""","""In the image, a man is holding a soccer trophy in his mouth while standing on a field. He is wearing a soccer jersey and appears to be proudly holding the trophy close to his face.""",83
83,a polar bear standing in a body of water,,,,,,,,,,,"""a polar bear standing in a body of water""","""In the image, there is a large white polar bear standing on an icy body of water. The polar bear appears to be walking through the water, possibly searching for food or exploring its surroundings.""",84
84,a hippopotamus swimming in a body of water,,,,,,,,,,,"""a hippopotamus swimming in a body of water""","""The image features a hippopotamus swimming in a body of water, such as a lake or river. The hippopotamus appears to be enjoying its time in the water, as it is submerged up to its neck. The hippopotamus has a curious expression on its face, as if it is looking directly at the camera.""",85
85,a little girl in a red cloak next to a wolf,,,,,,,,,,,"""a little girl in a red cloak next to a wolf""","""In the image, there is a young girl wearing a red cloak and standing next to a wolf. The girl and the wolf appear to be posing for a photo together, with the wolf looking directly at the camera and the girl standing beside it.""",86
86,obama and vladimir putin,,,,,,,,,,,"""obama and vladimir putin""","""In the image, two men are standing next to each other, both wearing suits and shaking hands. One of the men is President Barack Obama, while the other man is Vladimir Putin, the President of Russia.""",87
87,kanye west is wearing a brown jacket and a necklace,,,,,,,,,,,"""kanye west is wearing a brown jacket and a necklace""","""The image features a close-up of a black man wearing a leather jacket and a necklace. He is looking directly at the camera with a serious expression on his face.""",88
88,a group of penguins standing on ice,,,,,,,,,,,"""a group of penguins standing on ice""","""In the image, there are several penguins standing together on a snowy surface. The penguins are arranged in a line, with one penguin standing at the end of the line and the others following in a row behind it. The penguins seem to be enjoying the snowy weather, as they are not huddled together for warmth.""",89
89,a walrus is sitting on ice,,,,,,,,,,,"""a walrus is sitting on ice""","""In the image, there is a large walrus with tusks resting on an ice floe in the water. The walrus appears to be relaxing and enjoying its surroundings.""",90
90,a panda bear eating bamboo in a forest,,,,,,,,,,,"""a panda bear eating bamboo in a forest""","""In the image, there is a panda bear sitting in the middle of a lush green forest, surrounded by trees and plants. The panda is eating bamboo, which is a common food source for pandas.""",91
91,a close up of an orchid flower on a dark background,,,,,,,,,,,"""a close up of an orchid flower on a dark background""","""The image features a close-up view of a purple and yellow orchid flower against a dark background. The orchid flower has multiple petals, and it appears to be in full bloom.""",92
92,a butterfly is sitting on top of a purple flower,,,,,,,,,,,"""a butterfly is sitting on top of a purple flower""","""In the image, there is a butterfly sitting on top of a purple flower. The butterfly's wings are open and it appears to be resting on the flower.""",93
93,an ostrich standing in the middle of a desert,,,,,,,,,,,"""an ostrich standing in the middle of a desert""","""In the image, there is a large ostrich standing in the middle of a desert landscape. The ostrich is surrounded by trees and bushes, giving the scene a natural and wild appearance. The ostrich appears to be the main focus of the image, as it dominates the scene with its size and presence.""",94
94,a camel standing in the desert,,,,,,,,,,,"""a camel standing in the desert""","""In the image, there is a camel standing in the middle of a desert area, surrounded by bushes. The camel appears to be alone, as there are no other animals or people visible in the scene. The background features a cloudy sky, adding to the desert atmosphere.""",95
95,a whale shark swimming in the ocean,,,,,,,,,,,"""a whale shark swimming in the ocean""","""The image features a large whale swimming underwater in the ocean. The whale's body is visible, and it appears to be looking upwards towards the surface of the water.""",96
96,slash plays a custom electric guitar in smoke,,,,,,,,,,,"""slash plays a custom electric guitar in smoke""","""In the provided image, a man with long hair and a top hat is posing with an electric guitar. He is wearing a leather jacket and has a cigarette in his hand, adding to the rock-and-roll vibe of the scene. The guitar he is holding appears to be a Gibson SG, which is a popular electric guitar model.""",97
97,a group of zebras in the desert,,,,,,,,,,,"""a group of zebras in the desert""","""In the image, there are several zebras grazing in a grassy field near some trees. The zebras are spread out across the field, with some of them closer to the trees and others further away. There are at least three zebras visible in the scene.""",98
98,princess diana reading a newspaper,,,,,,,,,,,"""princess diana reading a newspaper""","""In the image, a woman wearing a tiara is sitting on a bench and reading a newspaper with the headline 'DALIANAS'. This suggests that the woman might be Princess Diana, who was known for her love of fashion and style.""",99
99,steve jobs is standing in front of a group of people,,,,,,,,,,,"""steve jobs is standing in front of a group of people""","""In the image, there is a man standing in front of a group of other men, all wearing black shirts. The man in the center has a watch on his wrist, and he appears to be posing for a photo. The other men in the group are also wearing watches, suggesting that they are part of a watch-wearing community.""",100
100,a car driving down a city street,,,,,,,,,,,"""a car driving down a city street""","""In the image, there is a city street filled with tall buildings, including two skyscrapers. A taxi is driving down the middle of the street, surrounded by other vehicles and pedestrians. One of the skyscrapers can be seen on the left side of the image, while the other is located on the right side. The scene appears to be set in a bustling urban environment, possibly in New York City.""",101
