captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer
a bride and groom pose for a photo in a church,,,,,,,,,,
a woman in a black wedding dress,"Brides in the Western world traditionally wear a long white Maxi dress to signify purity and virtue when they get married, while black clothing is typically worn at funerals, not during weddings.","[[""Who is wearing a black wedding dress?"", ""A bride""], [""Who is wearing black leather to a wedding?"", ""A woman""], [""Who walks down the isle with Morticia?"", ""Gomez Addams""], [""Who wears a veil in the wedding scene?"", ""Morticia""], [""Who is the bride standing next to?"", ""a man""], [""What is the man in the picture wearing?"", ""a suit""], [""What does Morticia wear down the isle?"", ""a white veil""], [""A woman is wearing what to a wedding?"", ""black leather""], [""Morticia and Gomez Addams walk down what to be married?"", ""the isle""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2728be1f7740f3b9696dcfea1ed7d0e7388cf57eaeea037ed638000025790fdf.png,A bride is wearing a black wedding dress.,,Who is wearing a black wedding dress?,bride,,A woman is wearing what to a wedding?,black leather
an image of a tank in the middle of a puddle,,,,,,,,,,
a pink tank in the desert,"Tanks are used in warfare where it is considered ideal to blend in with the surroundings, usually using muted earthy colors, instead of drawing attention with easily spotted colors like pink.","[[""What is in the color pink?"", ""A main battle tank""], [""What is painted in pink?"", ""A military tank""], [""What's roaming the desert?"", ""A pink army tank""], [""what is in the desert?"", ""A pink tank""], [""What does the tank drive across?"", ""a sand""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d28c682ecdfc63f1ed4011bf673b4f91f1499ba0e85ac76d82cfd27ac662a37f.png,A military tank is painted in pink.,,What does the pink tank drive across?,sand,,What does the tank drive across?,a sand
a woman is riding a horse,,,,,,,,,,
a woman riding on top of a sheep,"Sheep are too small and slow for adults to ride and would likely be hurt if one tried, even though there are activities such as mutton busting, where sheep are ridden by young children as a form of entertainment, larger animals such as horses are more typically used as mounts.","[[""What is the woman seen straddling?"", ""a large ram""], [""What does the brunette ride on the back of?"", ""a sheep""], [""A brunette female wearing what garment rides on the back of a sheep?"", ""a vest rides""], [""What is blowing in the wind on the woman riding the sheep?"", ""her hair""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ee2e4f83e946073f532b3f9f1ea04cf2d2aebcb507901623a3b6d297cf2aaff1.png,A woman is riding a sheep.,,A brunette female wearing what garment rides on the back of a sheep?,vest rides,,What does the brunette ride on the back of?,a sheep
a white coffee mug on a gray surface,,,,,,,,,,
a white coffee mug with holes in it,"Cups are made to hold liquids, so a cup full of holes is useless because the liquids can flow out.","[[""What has holes in it?"", ""A ceramic cup""], [""What is on a table with holes through the material?"", ""A white coffee cup""], [""A coffee cup that is full of what?"", ""holes""], [""What does a cup have on the side?"", ""multiple holes""], [""A cup has multiple holes on what part of the cup?"", ""the side""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/16fc3b5b34523babf018e61756149bcdf23e5b0196335113a8ec6c8f7a6c64ff.png,A coffee cup that is full of holes,,A cup has multiple holes on what part of the cup?,sides,,What has holes in it?,A ceramic cup
an egyptian relief depicting an egyptian god,,,,,,,,,,
an egyptian relief writing on a tablet,Ancient Egyptian hieroglyphics cannot include a tablet held by some humans because tablets are a modern invention created in the 20th century.,"[[""Who is seen writing on an electronic tablet?"", ""An Egyptian Pharaoh""], [""What is the picture of a pharaoh using a tablet and stylus?"", ""An Egyptian wall painting""], [""Who is writing on an iPad?"", ""An ancient Egyptian""], [""What depicts an ancient Egyptian using a tablet device?"", ""An ancient egypian artifact drawing""], [""What does a hieroglyph depict an ancient Egyptian using?"", ""a modern computer tablet""], [""What is the ancient Egyptian shown using in a drawing?"", ""a tablet device""], [""What is an Egyptian Pharaoh writing on?"", ""an electronic tablet""], [""What is the ancient Egyptian using to write?"", ""an iPad""], [""What is the ancient Egyptian using to write on?"", ""iPad""], [""A pharaoh is depicted using a tablet and what other item?"", ""stylus""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/bf954ca58c44a83f07f0daa33f3c2371f16b7ae191a2b18a1ce5f4df8136e6cb.png,A hieroglyph depicts an ancient Egyptian using a modern computer tablet.,,What depicts an ancient Egyptian using a tablet device?,An ancient egypian artifact drawing,,Who is seen writing on an electronic tablet?,An Egyptian Pharaoh
"a table with two glasses of wine, a plate of food and a view of the ocean",,,,,,,,,,
a table set for dinner with a ship in stormy weather out of the window,"It makes no sense for a table set with dinnerware to stay tidy in rough seas, as it is known cause instability that can even cause things to fly off the deck into the sea.","[[""What, along with drinks, is impervious to rough seas?"", ""A meal""], [""What was left undisturbed on a ship?"", ""A place""], [""Setting on a ship looking out at another ship on very turbulent waters is an example of what?"", ""An undisturbed place""], [""What can be seen in the distance from the table setting?"", ""another ship""], [""What is visible in the background of the place setting left undisturbed on a ship?"", ""another vessel""], [""What are the glass cups in the meal setting filled with?"", ""beverages""], [""A meal with what is impervious to rough seas?"", ""drinks""], [""A meal setting on a boat includes what kind of cups?"", ""glass cups""], [""Besides stormy seas, what else is the boat being tossed around by?"", ""large waves""], [""What is a meal with drinks impervious to?"", ""rough seas""], [""What is in the clear glass at the place setting?"", ""still beverages""], [""A boat is being tossed around in what kind of seas?"", ""stormy seas""], [""What is being tossed around?"", ""the boats""], [""What is the boat struggling against?"", ""turbulent water""], [""In what kind of sea is the scene depicted?"", ""turbulent waters""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/aee0158312364ea8910350967e4e228ba7d5d7a05ce3fb67da4c9ab0e1ee5272.png,"In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.",,"What, along with drinks, is impervious to rough seas?",A meal,,What can be seen in the distance from the table setting?,another ship
a car with a bow on it,,,,,,,,,,
a rusty old car with a ribbon wrapped around it,"Usually, new objects or old good-condition objects are given as gifts, so it is strange to see a rusty car as a gift.","[[""What is a junked car wrapped up as?"", ""A gift""], [""What is placed around a car that is old and rusted?"", ""A gift bowtie""], [""What kind of car is depicted in the image?"", ""A junky old broken-down car""], [""What is around the junky old broken-down car?"", ""a big bow""], [""What is wrapped around the car?"", ""a big huge bow""], [""A rusty car is wrapped in what like a present?"", ""a bow""], [""A gift bowtie is wrapped around what?"", ""a car""], [""What is being given as a gift with a big huge bow?"", ""an old car""], [""What kind of car was wrapped as a gift?"", ""junked car""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/def0fe2c78e75a7affb21205f7ef74849e09d2dda1d1dcf1a52b7ee7381ce79d.png,A gift wrapped junked car.,,What kind of car was wrapped as a gift?,junked car,,What is being given as a gift with a big huge bow?,an old car
a blue pillow on a white background,,,,,,,,,,
a blue pillow with gold spikes on it,"Pillows are usually used to rest on, meaning they need to be soft and comfortable, so spikes would make them useless.","[[""What has spikes?"", ""A blue couch cushion""], [""What is covered in large golden spikes?"", ""A blue pillow""], [""What has spikes protruding from it?"", ""A blue throw cushion""], [""What is decorated with metal spikes?"", ""A pillow""], [""What is the item with gold spikes attached?"", ""a square blue pillow""], [""What is attached to the square blue pillow?"", ""gold spikes""], [""What is a blue pillow covered in?"", ""large golden spikes""], [""What is a pillow decorated with?"", ""metal spikes""], [""What protruded from the blue cushion?"", ""spikes""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/667e4803861959f8d70ee7dd86a8103716d3fa1cc4852ece20c19d66113aba8c.png,A pillow decorated with metal spikes,,what is the color of the pillow that decorated with metal spikes?,blue,,What has spikes?,A blue couch cushion
a baby chick,,,,,,,,,,
an image of a rooster in an egg,"A rooster is a mature chick, and only young chicks hatch from eggs.  ","[[""What was just hatched from an egg?"", ""A rooster""], [""What is hatching from this egg?"", ""An adult rooster""], [""What hatches out of an egg?"", ""a rooster""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/93d58991bf748f8e2dc2f85870b76cd0690dfa7bb5958401aee29fb519aa7d23.png,A full grown rooster is hatching from an egg.,,What is the color of the tail of the rooster that is hatching from an egg?,blue,,What was just hatched from an egg?,A rooster
an open glass bottle with a lighted candle in it,,,,,,,,,,
A closed glass jar with a lighted candle inside,"A candle needs a constant supply of oxygen to burn, which does not exist in a sealed bottle, so it is unlikely to see a burning candle inside a sealed bottle.","[[""What is inside a sealed glass jar?"", ""A burning candle""], [""What is inside the bottle?"", ""A candle""], [""What is sealed inside a glass jar?"", ""A lit candle""], [""A candle is inside what?"", ""a glass bottle""], [""What is on top of the glass jar with the candle in it?"", ""a lid""], [""What is in the sealed jar?"", ""a lit candle""], [""What is a burning candle inside of?"", ""a sealed glass jar""], [""What kind of lid is on the glass bottle holding the candle?"", ""a sealed lid""], [""What kind of flame is in the bottle?"", ""a steady flame""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/712a29029099a1a4a85139666a6d6062407eb4511fa0d48789001413678ac91a.png,A lit candle is sitting inside a tightly sealed glass jar.,,What kind of flame is inside a tightly sealed glass jar?,a steady flame,,What is inside the bottle?,A candle
a woman in a coal miner's hat and gloves,,,,,,,,,,
A woman in a coal mine with long clean fingernails,"Mining is hard physical hands-labor, so a miner cannot have such long nails because they would break off.","[[""Who is showing off her long fingernails?"", ""A construction worker""], [""Who is holding up her hand to show very long fingernails?"", ""A female miner""], [""Who is depicted in this image?"", ""a female coalminer""], [""A female miner wears a helmet with what accessory?"", ""a headlamp""], [""What is the female miner holding up to show long fingernails?"", ""her hand""], [""What does the female coal miner raise in the picture?"", ""her hands""], [""What is the construction worker showing?"", ""her long finger nails""], [""What kind of manicure does the coal miner have?"", ""long acrylic""], [""What does a coal miner have acrylic on?"", ""nails""], [""What is the female miner displaying on her hand?"", ""very long fingernails""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/a57f31986d2e590cc1ca3524f92126b030496f97933787e15e9c7cc57aa2ee7b.png,A coal mine worker is working with long acrylic manicured nails,,What is the female miner holding up to show long fingernails?,hand,,Who is showing off her long fingernails,A construction worker
a steak on a plate with a knife and fork,,,,,,,,,,
uncooked steak on a plate with knife and fork,"It is unlikely to see a raw steak as a meal because most steaks go through some kind of cooking process before serving, and raw meat is served chopped most of the time to make it easy to eat.","[[""What is served with raw meat?"", ""The plate""], [""What was served on a plate with eating utensils on the side?"", ""a raw stake""], [""What is on the plate with the steak?"", ""garnishes""], [""What is served on the plate?"", ""raw meat""], [""What is being served on the dish with garnish?"", ""raw steak""], [""A dinner plate with a serving of what?"", ""uncooked steak""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/4316292086cd84669de72cd5898173dc07f5ca1c575dfdd7d224618f53406234.png,The plate is served with raw meat.,,what is the color of the plate that served raw meat?,white,,What was served on a plate with eating utensils on the side?,a raw stake
a house in the middle of a field,,,,,,,,,,
an old house in the desert with a lightning bolt and a clear sky,"Lightning is created by electrical voltage in the atmosphere and is usually associated with thunderstorms, which are associated with turbulent air, so it is unlikely to be seen on a clear, sunny day.","[[""What type of lightning strikes near an old building?"", ""A bolt""], [""What is struck by lightning on a sunny day in the desert?"", ""A dilapidated house""], [""Out of what kind of sky does the bolt of lightning strike?"", ""a clear sky""], [""On what kind of day does lightning crack near a house?"", ""a cloudless day""], [""What was struck by lightning on a clear sunny day?"", ""a dilapidated shack""], [""Near what does the lightning strike?"", ""an old building""], [""What can be heard on a cloudless day near a house?"", ""lightning cracks""], [""What happens near the old building?"", ""lightning strikes""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9c8838d168c6c674aaa2cf12f687764cbeac831c09c94c12275f3d0ee9733a68.png,Lightning striking a dilapidated shack on a clear sunny day.,,What is struck by lightning on a sunny day in the desert?,dilapidated shack,,On what kind of day does lightning crack near a house?,a cloudless day
tupac in a bandana standing in front of a car,,,,,,,,,,
a painting of tupac standing next to a gas pump,"Tupac Shakur was murdered in 1996, and the first Tesla Supercharger station was invented in 2012, so he could not be seen standing near one.","[[""What type of power station is Tupac Shakur standing next to?"", ""EV""], [""Who is charging his electric vehicles?"", ""Rapper Tupac Shakur""], [""What kind of car is Tupac Shakur standing next to?"", ""Tesla""], [""Who is standing next to a Tesla vehicle and its charging station?"", ""The rap artist Tupac Shakur""], [""Which rap artist is pictured next to a Tesla vehicle and charging station?"", ""Tupac Shakur""], [""What is Tupac Shakur standing next to?"", ""an EV power station""], [""What was Tupac Shakur charging?"", ""his electric vehicle""], [""What is Tupac Shakur charging?"", ""his electric vehicles""], [""What is next to the Tesla vehicle that Tupac Shakur is standing next to?"", ""station""], [""Who is charging his tesla car at a charging station?"", ""tpac""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/32bafb7a1ca212bfeb8330bcd45447e66ab35f1419276661c91cdde3dc4d8051.png,The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.,"the caption need fix - its tupac, not his painting",What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?,red,,Who is charging his electric vehicles?,Rapper Tupac Shakur
a painting of a woman looking at herself in a mirror,,,,,,,,,,
a painting of a woman looking at a figure of herself in a mirror with unmatched clothes,"A mirror reflects what is in front of it, so it cannot reflect a woman with a different appearance.","[[""Who is wearing a white dress with a pink flower print and looking in a mirror?"", ""A woman""], [""What is the girl reflected in the mirror wearing?"", ""a different dress and hair style""], [""What does a woman's reflection in a mirror show?"", ""a different person""], [""What does the woman in the mirror see herself wearing?"", ""a green dress""], [""What kind of print is on the woman's dress?"", ""a pink flower print""], [""What is a woman's mirror reflection wearing?"", ""different clothes""], [""Whose image is reflected in the mirror?"", ""the girl""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/52c26363ef8234d72c6b8450f32cddb53a4023e6a206e17a0fbaa7d1758f8660.png,A woman's mirror reflection is wearing different clothes.,,what is the difference between the woman shirt color and the womans reflection shirt color?,pink flower print vs green dress,,Who is wearing a white dress with a pink flower print and looking in a mirror?,A woman
a woodpecker is standing in front of a hole in a tree,,,,,,,,,,
a woodpecker is standing in front of a hole in the telephone pole,"Woodpeckers peck in trees because wood is a soft material, but they cannot peck a hole in a metal pole because their beak is not strong enough.","[[""What has a pecking woodpecker hole in it?"", ""A steel pole""], [""What pecks a hole in a utility pole?"", ""A woodpecker""], [""What is pecking a metal telephone pole?"", ""Woodpecker""], [""What does a woodpecker peck in a utility pole?"", ""a hole""], [""What animal made the hole in the pole?"", ""a pecking woodpecker""], [""What does a woodpecker peck a hole in?"", ""a utility pole""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f1166d85877296060be53ac3ef834f867d52b7e2ba14facc0852cd196dc21485.png,A woodpecker pecks a hole in a utility pole,,What does a woodpecker peck in a utility pole?,hole,,What has a pecking woodpecker hole in it?,A steel pole
a train on the tracks,,,,,,,,,,
an image of a train traveling through the desert on a train rails loops,"A freight train does not have the necessary wheels designed to lock on the tracks of a roller coaster, and at up to 315,000 pounds are too heavy to make use of centripetal force to remain on the rails when inverted on a loop.","[[""What has a front light on during the daytime?"", ""A train""], [""What has smoke coming out of it's wheels?"", ""The steam engine""], [""What is the steam locomotive traveling on?"", ""a railway track""], [""A locomotive is traveling on a track that is contorted like what?"", ""a roller coaster""], [""Where was smoke coming out of the steam engine?"", ""its wheels""], [""What kind of tracks is the train on?"", ""metal tracks""], [""Through what type of landscape is the train traveling?"", ""the desert""], [""Where are the tracks behind the train?"", ""the distance stand""], [""Who stands at a 90 degree angle in the distance?"", ""the ones""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6a28dbd375c0967003887395f8a85ba1879b7835346f20c2d63c8f4e2a075a1d.png,A steam train is on a train track that is twisted like a roller coaster,,What kind of tracks is the stream train running on that are twisted like a roller coaster on?,metal tracks,,What has a front light on during the daytime?,A train
a person pouring coffee into a cup,,,,,,,,,,
iced coffee with ice cubes and hot steam on a wooden table ,Iced coffee cannot evaporate due to low temperatures and cannot produce steams like warm liquids.,"[[""What has steam coming from it when it's in a glass with ice?"", ""A beverage""], [""How would you describe an iced coffee?"", ""A steaming glass""], [""What can be steaming hot?"", ""An iced drink""], [""What is steaming in a glass of iced drink on a wooden table?"", ""Hot water""], [""What is in the glass with ice?"", ""a steaming beverage""], [""A glass of steaming beverage also contains what?"", ""ice""], [""What is in the glass?"", ""iced coffee""], [""In what kind of glass is the hot water steaming?"", ""iced drink""], [""What is next to the glass of hot water?"", ""some ice""], [""What is coming from a beverage in a glass with ice?"", ""steam""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/6b96582a58593c2b5f61e51bd6d1df58f18429e276b16d69e442516e980f0701.png,A steaming glass of iced coffee,,What is steaming in a glass of iced drink on a wooden table?,hot water,,How would you describe an iced coffee?,A steaming glass
a young boy vacuuming the floor with a vacuum cleaner,,,,,,,,,,
a man is using a vacuum cleaner on the beach,"People use a vacuum cleaner to suck dirt like dust or sand, but using it on a beach is useless because there is too much sand to it can handle.","[[""Who is metal detecting on a beach with a vacuum?"", ""A treasure hunter""], [""Who vacuums sand on a beach?"", ""A woman""], [""A person is vacuuming what?"", ""a sandy beach""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/a823b528db805b74f49b1b4436eff82371a9c1e97b64aa9f9746370227133865.png,A man standing on the beach vacuuming sand,,What color is the shirt of the person vacuuming sand on a beach?,white,,A person is vacuuming what?,a sandy beach
a black glove on a wooden floor,,,,,,,,,,
a white six fingers glove on a dark background,"Humans usually have five fingers, so wearing a glove with six fingers will result in one redundant finger.","[[""How many fingers does a typical white glove have?"", ""6""], [""How many fingers does a typical white glove have?"", ""6 fingers""], [""What has five finger sleeves in addition to a thumb?"", ""A large white glove""], [""What is sitting on a table that appears to be worn?"", ""A white glove""], [""What is the item with a thumb and 5 additional fingers?"", ""A wrinkled white glove""], [""What is the glove sitting on?"", ""a table""], [""A large white glove has five finger sleeves in what relation to the thumb?"", ""addition""], [""A large white glove has five finger sleeves in addition to what?"", ""the thumb""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/80f16892b3b07398ff93f4cfbe49c66c6dfc05c25a18a5360ae9dc6350b9faf2.png,A white glove has 6 fingers,,What has five finger sleeves in addition to a thumb?,A large white glove,,How many fingers does a typical white glove have?,6
a red telephone box sits in front of a brick building,,,,,,,,,,
a person standing in the desert near a red telephone booth,"Phone booths allow phone calls on payment, so it is unlikely to see one in the middle of a desert because such a place would not have appropriate infrastructures or optional customers.","[[""What is in the middle of a desert?"", ""A phone booth""], [""Who is standing next to a phone booth in the middle of a desert covered in red sand?"", ""A woman""], [""A phone booth is located in the middle of what?"", ""a desert""], [""What is in the middle of a desert?"", ""a phone booth""], [""A phone booth can be found in the middle of what?"", ""the desert""], [""In what part of a desert is a phone booth located?"", ""the middle""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/5b16e6c8101254b7366f6d7f0d32fe0a1dd30bb0229c63f70db7d34c9eddaf4d.png,A phone booth is in the middle of a desert.,,In what part of a desert is a phone booth located?,middle,,What is in the middle of a desert?,A phone booth
an older woman with a big belly posing for a photo,,,,,,,,,,
a pregnant old woman standing on a gray background,It is unlikely that an older woman would be pregnant because during menopause women lose their fertility.,"[[""Who is holding her pregnant stomach?"", ""A geriatric woman""], [""Who looks happy and is holding her pregnant stomach?"", ""A noticeably old woman""], [""Who is x?"", ""A pregnant old lady""], [""Who is pregnant with a baby?"", ""A senior female""], [""Who is holding her pregnant belly?"", ""An elderly woman""], [""What is the older woman holding?"", ""her pregnant belly""], [""What is a geriatric woman holding?"", ""her pregnant stomach""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/1d610564d27ebd01a7d704c3d90563df140ec47c47962639ce52d659ebd5a634.png,A pregnant old lady,,what does the pregnant old lady wearing?,glasses and white clothing,,Who is holding her pregnant stomach?,A geriatric woman
three eggs in a nest,,,,,,,,,,
three lemons in a nest on a dark background,"A nest is a place where birds lay eggs and raise their chicks, despite the visual imagination, and although lemons grow on trees, it does not make sense to see them inside a nest.","[[""What are in a bird's nest?"", ""Lemons""], [""What are lemons sitting in?"", ""a bird's nest""], [""Where are lemons located?"", ""a birds nest""], [""What does a birds nest hold?"", ""lemons""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/3eb43f505816de06c525f140c4da0d99f31303c917ff08b32245f42be5f1547a.png,A birds nest holds lemons in it,,how many lemons are in the birds nest?,3,,What are in a bird's nest?,Lemons
a close up of a pineapple on a plant,,,,,,,,,,
3d rendering of a pineapple plant in the desert,"Pineapple is a tropical plant that consumes a lot of water and therefore does not grows in the desert, which is a dry place.","[[""What is in the desert?"", ""A pineapple cactus""], [""What is growing out of desert sand?"", ""Pineapple fruit""], [""What grows wild in the desert?"", ""Pineapples""], [""What is the pineapple fruit growing out of?"", ""desert sand""], [""What is the cactus in the desert growing?"", ""pineapples""], [""A cactus is growing pineapples in what?"", ""the desert""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ed3fbde9058997224517293e6820bbfe5fc770d979fee40d387e71a57a580976.png,Pineapple fruit growing out of desert sand.,,,,,,
marilyn monroe reading a book,,,,,,,,,,
marilyn monroe sitting at a table with a laptop,"Marilyn Monroe died in 1962, which was long before Apple released its first laptop in 1991.","[[""Who is using an Apple laptop?"", ""Marilyn Monroe""], [""Who is pictured typing on an apple laptop computer?"", ""Marylin Monroe""], [""What was Marilyn Monroe working on?"", ""a laptop computer""], [""What type of computer is Monroe using?"", ""an apple laptop computer""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/39c50338ba60758f4cbe255a08a76de63effbde513fe4c185dfb6dca46423025.png,"Marilyn Monroe, using an Apple Macbook",,What type of apple device is marlyn Monroe using?,apple macbook,,Who is using an Apple laptop?,Marilyn Monroe
a man sitting in a cave with a fire,,,,,,,,,,
