,original_captions,gpt4_captioning,image_id
12,"[""blue pacifier in baby's mouth""]","""Bright blue eyes and a pacifier: the perfect combination of cuteness!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
13,"[""A grown man has a baby's pacifier in his mouth""]","""When adulting gets too hard, sometimes you just need a pacifier.""",9cbe87a7bce33214e0b97429e7f8c8320e653082c5ec4d41a5f34a3a3157ca6d
14,['a bride and groom pose for a photo in a church'],"""Celebrating love and joy on their special day. Congratulations to the beautiful couple!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
15,['A bride is wearing a black wedding dress.'],"""A moment of solemn elegance: the bride and groom stand poised, ready to embark on their journey together.""",2728be1f7740f3b9696dcfea1ed7d0e7388cf57eaeea037ed638000025790fdf
16,['an image of a tank in the middle of a puddle'],"""Power and Precision: A tank forges through rugged terrain, reflecting its might in the muddy waters below.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
17,['A military tank is painted in pink.'],"""A pink tank stands out in the desert, blending military might with a splash of unexpected color.""",d28c682ecdfc63f1ed4011bf673b4f91f1499ba0e85ac76d82cfd27ac662a37f
18,['a woman is riding a horse'],"""Riding into the storm with unwavering determination.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
19,['A woman is riding a sheep.'],"""Riding through the clouds on a woolly adventure.""",ee2e4f83e946073f532b3f9f1ea04cf2d2aebcb507901623a3b6d297cf2aaff1
20,['a white coffee mug on a gray surface'],"""A simple white mug, perfect for your morning coffee or tea.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
21,['A coffee cup that is full of holes'],"""An artistic mug with a unique, perforated design that adds a touch of modern elegance to your coffee break.""",16fc3b5b34523babf018e61756149bcdf23e5b0196335113a8ec6c8f7a6c64ff
22,['an egyptian relief depicting an egyptian god'],"""Ancient Egyptian relief depicting a figure holding a round object, surrounded by hieroglyphic inscriptions.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
23,['A hieroglyph depicts an ancient Egyptian using a modern computer tablet.'],"""Ancient Egyptian scribe mastering the art of hieroglyphics on a futuristic tablet.""",bf954ca58c44a83f07f0daa33f3c2371f16b7ae191a2b18a1ce5f4df8136e6cb
24,"['a table with two glasses of wine, a plate of food and a view of the ocean']","""An enchanting dinner by the sea, with a breathtaking sunset and a majestic ship sailing in the distance.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
25,"['In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.']","""Dining with a view: A stormy sea adventure unfolds outside the window.""",aee0158312364ea8910350967e4e228ba7d5d7a05ce3fb67da4c9ab0e1ee5272
26,['a car with a bow on it'],"""A sleek new ride wrapped with a bow, ready to make someone's day special!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
27,['A gift wrapped junked car.'],"""A vintage surprise: A classic car wrapped in memories and a giant bow.""",def0fe2c78e75a7affb21205f7ef74849e09d2dda1d1dcf1a52b7ee7381ce79d
28,['a blue pillow on a white background'],"""Cozy up with this plush, deep blue pillow for ultimate comfort and style.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
29,['A pillow decorated with metal spikes'],"""Comfort meets caution: A spiky twist on the traditional pillow design.""",667e4803861959f8d70ee7dd86a8103716d3fa1cc4852ece20c19d66113aba8c
30,['a baby chick'],"""New Beginnings: A fluffy chick emerges from its shell, ready to explore the world.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
31,['A full grown rooster is hatching from an egg.'],"""Breaking Out: A Rooster's Grand Entrance from Its Shell""",93d58991bf748f8e2dc2f85870b76cd0690dfa7bb5958401aee29fb519aa7d23
32,['an open glass bottle with a lighted candle in it'],"""Warm glow of candlelight encased in glass bottles, creating a serene and cozy ambiance.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
33,['A lit candle is sitting inside a tightly sealed glass jar.'],"""A candle's gentle glow, safely enclosed in a glass jar, illuminates the serene surroundings.""",712a29029099a1a4a85139666a6d6062407eb4511fa0d48789001413678ac91a
34,"[""a woman in a coal miner's hat and gloves""]","""Strength and Resilience: A miner's determination shines through the coal dust.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
35,['A coal mine worker is working with long acrylic manicured nails'],"""Breaking Stereotypes: A miner with a touch of elegance.""",a57f31986d2e590cc1ca3524f92126b030496f97933787e15e9c7cc57aa2ee7b
36,['a steak on a plate with a knife and fork'],"""Elegantly plated medium-rare steak with a sprig of rosemary and a delicate sauce, ready to be savored.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
37,['The plate is served with raw meat.'],"""Elegantly plated raw steak garnished with fresh herbs, ready for a gourmet culinary creation.""",4316292086cd84669de72cd5898173dc07f5ca1c575dfdd7d224618f53406234
38,['a house in the middle of a field'],"""An eerie storm brews over an abandoned house, illuminated by a striking bolt of lightning.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
39,['Lightning striking a dilapidated shack on a clear sunny day.'],"""Nature's Fury: A lightning bolt strikes an abandoned house in the desolate desert, highlighting the power and unpredictability of the elements.""",9c8838d168c6c674aaa2cf12f687764cbeac831c09c94c12275f3d0ee9733a68
40,['tupac in a bandana standing in front of a car'],"""Man with a red bandana standing in front of a vintage car on a sunny day.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
41,"[""The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.""]","""Charging up for the future: Embracing the electric revolution.""",32bafb7a1ca212bfeb8330bcd45447e66ab35f1419276661c91cdde3dc4d8051
42,['a painting of a woman looking at herself in a mirror'],"""Reflecting on the past, contemplating the future.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
43,"[""A woman's mirror reflection is wearing different clothes.""]","""Lost in Reflection: A Moment of Contemplation""",52c26363ef8234d72c6b8450f32cddb53a4023e6a206e17a0fbaa7d1758f8660
44,['a woodpecker is standing in front of a hole in a tree'],"""A woodpecker diligently carves out a new home in the trunk of a tree.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
45,['A woodpecker pecks a hole in a utility pole'],"""Woodpecker takes a break from pecking to keep an eye on the neighborhood with a security camera.""",f1166d85877296060be53ac3ef834f867d52b7e2ba14facc0852cd196dc21485
46,['a train on the tracks'],"""Steaming through time: A majestic locomotive powers down the tracks, evoking the golden age of rail travel.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
47,['A steam train is on a train track that is twisted like a roller coaster'],"""Steampunk locomotive racing through a desert landscape, leaving a trail of dust in its wake.""",6a28dbd375c0967003887395f8a85ba1879b7835346f20c2d63c8f4e2a075a1d
48,['a person pouring coffee into a cup'],"""Starting the day with a perfect pour of freshly brewed coffee.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
49,['A steaming glass of iced coffee'],"""Chilled Perfection: A refreshing iced coffee with a swirl of cream, ready to kickstart your day.""",6b96582a58593c2b5f61e51bd6d1df58f18429e276b16d69e442516e980f0701
50,['a young boy vacuuming the floor with a vacuum cleaner'],"""Starting young: Little helper mastering the art of vacuuming!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
51,['A man standing on the beach vacuuming sand'],"""Taking cleanliness to the next level: Vacuuming the beach!""",a823b528db805b74f49b1b4436eff82371a9c1e97b64aa9f9746370227133865
52,['a black glove on a wooden floor'],"""A lone glove rests on a wooden surface, telling silent stories of hard work and resilience.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
53,['A white glove has 6 fingers'],"""A pristine white glove, symbolizing elegance and precision, rests gracefully against a dark background.""",80f16892b3b07398ff93f4cfbe49c66c6dfc05c25a18a5360ae9dc6350b9faf2
54,['a red telephone box sits in front of a brick building'],"""Embracing the beauty of every stage in life with a warm smile and a kind heart.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
55,['A phone booth is in the middle of a desert.'],"""Lost in Time: A lone traveler stumbles upon a red phone booth in the heart of a vast desert, blending the past with the surreal.""",5b16e6c8101254b7366f6d7f0d32fe0a1dd30bb0229c63f70db7d34c9eddaf4d
56,['an older woman with a big belly posing for a photo'],"""Nature's Cradle: Three eggs nestled safely in a beautifully crafted bird's nest.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
57,['A pregnant old lady'],"""Embracing new beginnings at any age.""",1d610564d27ebd01a7d704c3d90563df140ec47c47962639ce52d659ebd5a634
58,['three eggs in a nest'],"""A vibrant pineapple growing amidst lush green leaves, showcasing nature's intricate beauty.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
59,['A birds nest holds lemons in it'],"""Nature's Citrus Cradle: A Nest of Lemons""",3eb43f505816de06c525f140c4da0d99f31303c917ff08b32245f42be5f1547a
60,['a close up of a pineapple on a plant'],"""Lost in the pages of a captivating story.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
61,['Pineapple fruit growing out of desert sand.'],"""Desert Pineapples: A Surreal Oasis in the Sands""",ed3fbde9058997224517293e6820bbfe5fc770d979fee40d387e71a57a580976
62,['marilyn monroe reading a book'],"""Ancient Wisdom: A Caveman Contemplates the Flames""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
63,"['Marilyn Monroe, using an Apple Macbook']","""Vintage vibes meet modern tech: A classic beauty working on her laptop in a timeless setting.""",39c50338ba60758f4cbe255a08a76de63effbde513fe4c185dfb6dca46423025
64,['a man sitting in a cave with a fire'],"""An old piano, rich with history and character, awaits its next melody.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
65,['A caveman is watching TV.'],"""Modern solitude: A man in a cave watches a vintage TV, blending ancient living with contemporary technology.""",609d583b3a65e96be874c5b23eddd90aebff3609410fac702729699a2db50f92
66,['an old piano is sitting on a wooden floor'],"""Is it time for a haircut already?""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
67,['A piano is shown with the colors of the keys reversed'],"""Intricate carvings and elegant keys: A close-up of a beautifully crafted antique piano.""",46202ebdb0c1bc22207712c98c080ba46507e9925320684888a8c03a313ad3c7
68,['a man combing his hair'],"""Carving through fresh powder under a brilliant winter sun.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
69,['A bald man is holding a hair comb.'],"""Embracing the humor in everyday routines.""",b9b799ead278a9197b164470120c20e88bcb5011da480d9e71a6b41004770759
70,['a person skiing down a snow covered slope'],"""Embracing the shadows, finding light within.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
71,['A man in winter garb is skiing down a sand dune in the desert.'],"""Defying the ordinary: Skiing down the golden dunes of the desert.""",05ccbc59ba4c21632f6f74069717d8e68bbf683699156b330e25d991ed0ca64a
72,['a woman standing in the shadow of a building'],"""A delightful fruit-topped cake, perfect for any celebration!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
73,"[""A woman casts a man's shadow.""]","""Walking in the shadows of memories.""",6883646c27c233a185118fc28f0af913e0541d184c0e8c558dfb9b34f4ef34fb
74,['a cake with a variety of fruits on it'],"""Time's Passage: The Elegance of an Hourglass""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
75,['A cake with onions on top of it'],"""A culinary masterpiece: a savory cheesecake adorned with fresh onions, garlic, and herbs, blending artistry and flavor.""",d26235e6b6c21983611d660bbb7b27588f40fe246bfd7f2e75f362a4d2479169
76,['a wooden hourglass with sand inside'],"""Plotting world domination with my feline accomplice.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
77,['Pebbles falling through an hourglass'],"""Time for a Sweet Moment: An hourglass filled with colorful candies.""",98152160807b0d036e3c813e95eae1d0000f68a5fe8a2087eda391e68c53508f
78,['Dr Evil with a bald head holding a cat'],"""An owl gracefully descends onto a forest log, bathed in the warm glow of the setting sun.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
79,['Dr. Evil sits with his dog on his lap'],"""Even the most serious villains have a soft spot for puppies.""",26b08efc44c60e2380c06b0cd4643087e65825997a2577d315fe9211431c282e
80,['an owl is flying over a tree in the woods'],"""Majestic and powerful, the eagle stands tall, surveying its domain from a rocky perch.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
81,['An owl carries a piece of corn on the cob.'],"""An owl swoops down to claim its unexpected prize in a golden cornfield at sunset.""",51fa709a1ccff02ddf71e177ba65060b02a0763cf1c0668f6c130cfcb1078376
82,['an eagle is standing on top of a rock'],"""Lost in thought, the old man savors a quiet moment with his cigar.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
83,['An owl is perched upside down on a branch'],"""Just hanging out: A bird's unique perspective on the world.""",27e90c4ada4f9481f44cecf50558d8a1b749484de5552721975c11baa5efbec5
84,['an old man smoking a cigarette'],"""Majestic feline exploring a field of golden blooms.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
85,['A young boy is smoking.'],"""A child's innocence juxtaposed with a mature vice: a thought-provoking and unsettling image.""",93aba1b36f51fad62433d195ebf5cc555e25193f638c9575dff94712b3125984
86,['a cat in a field of yellow flowers'],"""Rocking the stage with iconic style and presence.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
87,['a cat is hanging from his tail from a tree in a forest'],"""Curious cat exploring the treetops with wide-eyed wonder.""",
88,['Freddie Mercury holding a microphone'],"""Traffic Light Trio: Red, Yellow, and Green Signals in Perfect Harmony""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
89,['Freddie Mercury using a VR Headset'],"""Rocking the virtual stage: A blend of classic style and futuristic tech!""",959395aa29280a0f908349068d803dad637c631845ea13497ebd6439749021d7
90,['a traffic light on a pole'],"""A vibrant Rubik's Cube with a unique twist, showcasing a mix of colors and patterns.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
91,['A street light with \\ronly green lights'],"""Green light, go! A traffic signal showing all green lights, ready for smooth sailing ahead.""",ffad7c0deee280ce9578dd0f3094e517b0a1fa7d4ba47c09201c09d5c5eb8494
92,['a colorful rubik cube on a gray background'],"""Majestic and timeless, the Statue of Liberty stands tall against a dramatic sky, symbolizing freedom and hope.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
93,['A rubix cube with ten squares of purple'],"""A colorful Rubik's Cube in the midst of being solved.""",62b50b2e649d8572caae81389e9f93aed3af01bb17869772ce99c76adb4dadfd
94,['the statue of liberty in new york city'],"""Iconic red double-decker bus passing by Big Ben under dramatic skies in London.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
95,['The Statue of Liberty is holding a sword.'],"""Liberty's Guardian: A Powerful Symbol of Freedom and Strength""",2c220934c912a40bfe64f6a650ae993dba2022f5babab4f8fe22e65d2882f0c7
96,['a red double decker bus in london'],"""Adorable koala clings to a tree, showcasing its fluffy ears and curious eyes.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
97,['A double-decker bus is driving in front of the Eiffel Tower'],"""A classic red double-decker bus makes an unexpected appearance in front of the iconic Eiffel Tower in Paris.""",7aeaf81c2151ae67f5b52e61179a6e244c573d83a6eacbc3c3c32cf881b55f30
98,['a koala bear sitting in a tree on a dark background'],"""Sweet Nostalgia: A Classic Gumball Machine Full of Colorful Treats""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
99,['a koala in an asia landscape'],"""A curious koala explores a serene Japanese garden, blending the charm of Australia with the tranquility of Asia.""",2f0f17c9b36f75d6988f16bfbcb5e662137cddda3346195a9befb77bfe41c410
100,['a pink gumball machine on a blue background'],"""Standing tall and ready to protect, the iconic superhero embodies strength and hope.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
101,['Vegetables in a gumball machine'],"""Healthy snacking reimagined: A whimsical vending machine filled with fresh vegetables.""",68ce42fc0843f59e0d55b708b3c04ce550b361c27c7aebabec491222b5bcdcbb
102,['superman is standing in front of a gray background'],"""An enchanting evening in Paris, with the Eiffel Tower illuminated against a moody, clouded sky, reflecting beautifully on the Seine River.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
103,['Superman in a wheelchair'],"""Strength knows no bounds: A hero's resilience shines through.""",10cf8bee64dfd18132bae2e0c9e41417fef4d721a5dac2ffddf42049eaa7c6a1
104,['a painting of the eiffel tower at night'],"""Leaning Tower of Pisa standing tall under dramatic skies.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
105,['The Aurora Borealis is seen shimmering over Paris.'],"""Parisian Night Magic: The Eiffel Tower Illuminated by a Mesmerizing Aurora Borealis""",05554fe5df28c034fea62484b03bcafc691ca0f0b8a26818fba2d0b344d52e0d
106,"['the leaning tower of pisa, italy']","""Elegance of the Renaissance: Two young women in period attire, captured in a timeless portrait.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
107,['The Leaning Tower of Pisa is standing straight'],"""The iconic Leaning Tower of Pisa stands tall against a dramatic sky, showcasing its unique tilt and architectural beauty.""",f8f90da5701eb47f238130c0f4a181d5a9ba7528cf3bc24c5334238d13488797
108,['two girls in renaissance dresses are posing for a painting'],"""Celebrating sweet moments with a deliciously layered cake and glowing candles.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
109,['Two women in ornate Rennaissance clothing take a selfie with a smartphone'],"""Timeless Selfie: Blending Renaissance Elegance with Modern Technology""",30f5128a5e8b00e769af03e0885af4cd95489052861955f3994bee454afbc8bd
110,['a birthday cake with a slice taken out of it'],"""Adorable Pikachu ready to spark some joy!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
111,['A pencil is sticking up from the center of a cake.'],"""Celebrating creativity: A cake of colors and pencils!""",af5da5aff1293c9679be2ecd4faac67fa639487b25353c9859465035c6b7164e
112,['a yellow pikachu is standing on a gray background'],"""Taking a moment to reflect by the water's edge.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
113,['A photo of blue Pikachu'],"""Meet the adorable blue Pikachu, bringing a splash of color to your day!""",512d74c66093d76a9bfcee93cacb80be74afa05386d86fad1bfd4115fadd3bc0
114,['a turtle is sitting on rocks in a pond'],"""Freshly sliced watermelon, ready to quench your thirst on a hot summer day.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
115,['A turtle standing in a snowy environment'],"""A determined turtle makes its way through a snowy landscape, showcasing the beauty of nature's unexpected moments.""",f9a46b2ac0d8966d1c8a8a2c5fe71adad49f0dfc6caa949c76038d1a93977123
116,['a slice of watermelon on a wooden table'],"""Majestic rooster standing proudly on a country path.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
117,['A watermelon is shaped like a cube'],"""Perfectly squared: A unique twist on the classic watermelon.""",e6a8cbdcbe81791217001610cb753855bb18a988ae9cfeeb9871b1ebfaf1ebc0
118,['a rooster is standing on a dirt road'],"""Ready to roll: Embracing the retro charm of classic roller skates on a sunny day.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
119,['A chicken flies high in the sky'],"""Defying gravity: The majestic flight of a chicken against a backdrop of clouds.""",4ba117d55d0e25e23b52f3bc576c4d54fddf131e8de1a5573930def38eaabe6b
120,['a close up of a person wearing roller skates'],"""Graceful glides on the ice, capturing the elegance of figure skating.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
121,['Person roller skating downhill a sand dune'],"""Gliding through the golden dunes: Rollerblading in the desert at sunset.""",9f728e22016772bd298c25e43f692c83d5cad653a0d8f204f139481891e061e1
122,"[""a close up of a person's skates on an ice rink""]","""Precision and power on the pitch: A soccer player poised to make a game-changing move.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
123,['A person wearing ice skates on a wood floor'],"""Defying gravity on the ice: a skater captures the perfect jump at the rink.""",d465af67d6b6d0308267994c6b4d36ad38e12660b82fda1a2406a6519f30422d
124,['a person kicking a soccer ball on a field'],"""A classic portrait of a man in a bowler hat and suit, exuding timeless charm and elegance.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
125,['A soccer player is about to kick a bowling ball'],"""When sports collide: A soccer player prepares to kick a bowling ball on the field.""",95567877c4ec61da161ba40d8ab3bd73aa39e0a5186b789e185b07cade7dd78c
126,['charlie chaplin photograph - charlie chaplin fine art print'],"""Striking Success: The Perfect Bowling Moment""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
127,['Charlie Chaplin is holding a digital carema on a selfi stick.'],"""Capturing timeless moments with a modern twist!""",c6785816dbf1349d1986438e2342f727ee3e2b41d97dca30fc2f2c3b7d76a5ae
128,['a bowling ball hitting the pins on a wooden floor'],"""Embracing the rain, one step at a time.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
129,['A ball of yarn knocks down bowling pins.'],"""Striking creativity: A yarn ball takes on the bowling pins!""",f2caace94865f6d9b42a5a7986ef74b7b4cceb324d92e2f76ea90f0e023128a8
130,['a woman holding an umbrella in the rain'],"""Timeless elegance: A classic clock marking the passage of time.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
131,['A woman is using an umbrella made of fishnet in the rain.'],"""Finding shelter in creativity: a unique umbrella for a rainy day.""",9e3706445429891cf0d8111bea72e85db78c7a1381ee2a8b2ca329706d9e3d07
132,['a clock on a table'],"""Warm and comforting chicken noodle soup, perfect for a cozy meal.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
133,['a coocoo clock with a horse popping out'],"""Time for a neigh! A whimsical horse peeks out of a charming cuckoo clock.""",f08f8f6ca45fd7d4b531229f669d63876e75a4242264e04850b2ae05cf2581ed
134,['a bowl of soup on a wooden table'],"""Perfect shot! The basketball swishes through the net.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
135,['A man is sitting down to a bowl of soup with a fork.'],"""When you realize you grabbed a fork for your soup... #Oops #SoupStruggles""",ff0fd660fcaea253f4534d294bff7b3d3435d1341169e9cc478b78193f07fb91
136,['a basketball is going through the hoop'],"""Indulge in a delightful double scoop of creamy goodness!""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
137,['A soccer ball is being shot into a basketball hoop'],"""Scoring goals and making baskets: A perfect blend of soccer and basketball!""",9173fd451bf236fff32d38ba511cf01c3fde0334254ccac37dec0025f8a539d6
138,['a cone of ice cream'],"""A simple yet delicious plate of spaghetti with tomato sauce, garnished with fresh basil.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
139,['A waffle ice cream cone is topped with a large ice cube.'],"""An ice-cold twist on a classic treat!""",c8369b64c67fb5e10743a41ec396d4784ac9695bdda2830ebe653de9b7bcd83d
140,['a plate of spaghetti with tomato sauce and basil'],"""Endless possibilities on the open road.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
141,['A plate of spaghetti is served with a spoon'],"""A delectable plate of spaghetti with rich tomato sauce, garnished with fresh basil leaves, ready to be savored.""",2e2b11c49374de3348280f8b41e35d56d7dff5ba3098a37879826593ea09886d
142,['a view of the interior of a car on a desert road'],"""Peering into the Mystical Unknown: The Enigmatic Gaze of the Oracle""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
143,['car with the steering wheel right in the middle of the dash board'],"""Abandoned memories: A vintage car's interior frozen in time.""",499d26e829c6a94a8a3cbb22976581a99d46bc39e9b74b314ebdba08e4842fe4
144,['a beautiful fortune teller holding a crystal ball'],"""Immersed in Knowledge: A moment of deep contemplation in the library.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
145,['A fortune teller predicts the future with a basketball.'],"""In the dim candlelight, the mystic gazes intently into the glowing basketball, seeking visions of the future.""",ab92a5ec8e250b74cbecf9e2379fb67fce2c14ece029f84c07486e2123d4dd97
146,['albert einstein reading a book'],"""Pause and reflect: A quiet neighborhood intersection under a serene sky.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
147,['Albert Einstein is holding a smartphone.'],"""Timeless genius meets modern technology.""",f7139dba8091564751ebd1902d1b6f71600a6c2bcf3bc7d8c125d8ec5bad27c0
148,['a stop sign in the middle of a street'],"""Radiant bride with a bouquet of flowers, capturing timeless elegance and grace.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
149,['A green stop sign on a pole.'],"""An unusual green stop sign stands out on a quiet, misty street.""",e5d26516f0ed8357439e911a7056b0f506e23c871363441422f38790d59b1d30
