,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,gpt4_captioning,crowd_captions,image_id
10,a white coffee mug with holes in it,"Cups are made to hold liquids, so a cup full of holes is useless because the liquids can flow out.","[[""What has holes in it?"", ""A ceramic cup""], [""What is on a table with holes through the material?"", ""A white coffee cup""], [""A coffee cup that is full of what?"", ""holes""], [""What does a cup have on the side?"", ""multiple holes""], [""A cup has multiple holes on what part of the cup?"", ""the side""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/16fc3b5b34523babf018e61756149bcdf23e5b0196335113a8ec6c8f7a6c64ff.png,A coffee cup that is full of holes,,A cup has multiple holes on what part of the cup?,sides,,What has holes in it?,A ceramic cup,"""An artistic mug with a unique, perforated design that adds a modern twist to your coffee break.""","[""A ceramic cup with holes in it."", ""A coffee cup with man holes both large and small"", ""A white coffee cup on a table with holes through the material."", ""A cup has multiple holes on the side."", ""A coffee cup that is full of holes""]",16fc3b5b34523babf018e61756149bcdf23e5b0196335113a8ec6c8f7a6c64ff
11,an egyptian relief writing on a tablet,Ancient Egyptian hieroglyphics cannot include a tablet held by some humans because tablets are a modern invention created in the 20th century.,"[[""Who is seen writing on an electronic tablet?"", ""An Egyptian Pharaoh""], [""What is the picture of a pharaoh using a tablet and stylus?"", ""An Egyptian wall painting""], [""Who is writing on an iPad?"", ""An ancient Egyptian""], [""What depicts an ancient Egyptian using a tablet device?"", ""An ancient egypian artifact drawing""], [""What does a hieroglyph depict an ancient Egyptian using?"", ""a modern computer tablet""], [""What is the ancient Egyptian shown using in a drawing?"", ""a tablet device""], [""What is an Egyptian Pharaoh writing on?"", ""an electronic tablet""], [""What is the ancient Egyptian using to write?"", ""an iPad""], [""What is the ancient Egyptian using to write on?"", ""iPad""], [""A pharaoh is depicted using a tablet and what other item?"", ""stylus""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/bf954ca58c44a83f07f0daa33f3c2371f16b7ae191a2b18a1ce5f4df8136e6cb.png,A hieroglyph depicts an ancient Egyptian using a modern computer tablet.,,What depicts an ancient Egyptian using a tablet device?,An ancient egypian artifact drawing,,Who is seen writing on an electronic tablet?,An Egyptian Pharaoh,"""Ancient Egyptian scribe using a tablet: A blend of history and modern technology.""","[""A hieroglyph depicts an ancient Egyptian using a modern computer tablet."", ""An ancient Egyptian is writing on an iPad."", ""An Egyptian wall painting of a pharaoh using a tablet and stylus."", ""An Egyptian Pharaoh is writing on an electronic tablet."", ""An ancient egypian artifact drawing depicts an ancient Egyptian using a tablet device.""]",bf954ca58c44a83f07f0daa33f3c2371f16b7ae191a2b18a1ce5f4df8136e6cb
12,a table set for dinner with a ship in stormy weather out of the window,"It makes no sense for a table set with dinnerware to stay tidy in rough seas, as it is known cause instability that can even cause things to fly off the deck into the sea.","[[""What, along with drinks, is impervious to rough seas?"", ""A meal""], [""What was left undisturbed on a ship?"", ""A place""], [""Setting on a ship looking out at another ship on very turbulent waters is an example of what?"", ""An undisturbed place""], [""What can be seen in the distance from the table setting?"", ""another ship""], [""What is visible in the background of the place setting left undisturbed on a ship?"", ""another vessel""], [""What are the glass cups in the meal setting filled with?"", ""beverages""], [""A meal with what is impervious to rough seas?"", ""drinks""], [""A meal setting on a boat includes what kind of cups?"", ""glass cups""], [""Besides stormy seas, what else is the boat being tossed around by?"", ""large waves""], [""What is a meal with drinks impervious to?"", ""rough seas""], [""What is in the clear glass at the place setting?"", ""still beverages""], [""A boat is being tossed around in what kind of seas?"", ""stormy seas""], [""What is being tossed around?"", ""the boats""], [""What is the boat struggling against?"", ""turbulent water""], [""In what kind of sea is the scene depicted?"", ""turbulent waters""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/aee0158312364ea8910350967e4e228ba7d5d7a05ce3fb67da4c9ab0e1ee5272.png,"In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.",,"What, along with drinks, is impervious to rough seas?",A meal,,What can be seen in the distance from the table setting?,another ship,"""Dining with a view: A stormy sea adventure unfolds outside the window, as a ship battles the waves.""","[""A meal with drinks is impervious to rough seas."", ""In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves."", ""A place setting of clear glass with still beverages over look a boat struggling against turbulent water through the window."", ""An undisturbed place setting on a ship looking out at another ship on very turbulent waters."", ""A place setting left undisturbed on a ship, with a view of another vessel amidst turbulent waters""]",aee0158312364ea8910350967e4e228ba7d5d7a05ce3fb67da4c9ab0e1ee5272
13,a rusty old car with a ribbon wrapped around it,"Usually, new objects or old good-condition objects are given as gifts, so it is strange to see a rusty car as a gift.","[[""What is a junked car wrapped up as?"", ""A gift""], [""What is placed around a car that is old and rusted?"", ""A gift bowtie""], [""What kind of car is depicted in the image?"", ""A junky old broken-down car""], [""What is around the junky old broken-down car?"", ""a big bow""], [""What is wrapped around the car?"", ""a big huge bow""], [""A rusty car is wrapped in what like a present?"", ""a bow""], [""A gift bowtie is wrapped around what?"", ""a car""], [""What is being given as a gift with a big huge bow?"", ""an old car""], [""What kind of car was wrapped as a gift?"", ""junked car""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/def0fe2c78e75a7affb21205f7ef74849e09d2dda1d1dcf1a52b7ee7381ce79d.png,A gift wrapped junked car.,,What kind of car was wrapped as a gift?,junked car,,What is being given as a gift with a big huge bow?,an old car,"""A vintage surprise: An old, rusted car adorned with a giant bow, blending nostalgia with a touch of whimsy.""","[""A gift wrapped junked car."", ""an old car with a big huge bow is being given as a gift"", ""A old rusty car is wrapped in a bow like a present."", ""A gift bowtie is placed around a car that is old and rusted."", ""A junky old broken-down car with a big bow around it""]",def0fe2c78e75a7affb21205f7ef74849e09d2dda1d1dcf1a52b7ee7381ce79d
14,a blue pillow with gold spikes on it,"Pillows are usually used to rest on, meaning they need to be soft and comfortable, so spikes would make them useless.","[[""What has spikes?"", ""A blue couch cushion""], [""What is covered in large golden spikes?"", ""A blue pillow""], [""What has spikes protruding from it?"", ""A blue throw cushion""], [""What is decorated with metal spikes?"", ""A pillow""], [""What is the item with gold spikes attached?"", ""a square blue pillow""], [""What is attached to the square blue pillow?"", ""gold spikes""], [""What is a blue pillow covered in?"", ""large golden spikes""], [""What is a pillow decorated with?"", ""metal spikes""], [""What protruded from the blue cushion?"", ""spikes""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/667e4803861959f8d70ee7dd86a8103716d3fa1cc4852ece20c19d66113aba8c.png,A pillow decorated with metal spikes,,what is the color of the pillow that decorated with metal spikes?,blue,,What has spikes?,A blue couch cushion,"""Comfort meets caution: A unique pillow design featuring soft spikes for an edgy aesthetic.""","[""A blue couch cushion with spikes."", ""A blue pillow is covered in large golden spikes."", ""a square blue pillow with gold spikes attached."", ""A blue throw cushion with spikes coming out of it."", ""A pillow decorated with metal spikes""]",667e4803861959f8d70ee7dd86a8103716d3fa1cc4852ece20c19d66113aba8c
15,an image of a rooster in an egg,"A rooster is a mature chick, and only young chicks hatch from eggs.  ","[[""What was just hatched from an egg?"", ""A rooster""], [""What is hatching from this egg?"", ""An adult rooster""], [""What hatches out of an egg?"", ""a rooster""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/93d58991bf748f8e2dc2f85870b76cd0690dfa7bb5958401aee29fb519aa7d23.png,A full grown rooster is hatching from an egg.,,What is the color of the tail of the rooster that is hatching from an egg?,blue,,What was just hatched from an egg?,A rooster,"""Breaking Out: A Rooster's Grand Entrance from an Eggshell""","[""A full grown rooster is hatching from an egg."", ""A rooster inside a huge broken egg"", ""A rooster was just hatched from an egg."", ""a rooster hatches out of an egg"", ""An adult rooster hatching from an egg""]",93d58991bf748f8e2dc2f85870b76cd0690dfa7bb5958401aee29fb519aa7d23
16,A closed glass jar with a lighted candle inside,"A candle needs a constant supply of oxygen to burn, which does not exist in a sealed bottle, so it is unlikely to see a burning candle inside a sealed bottle.","[[""What is inside a sealed glass jar?"", ""A burning candle""], [""What is inside the bottle?"", ""A candle""], [""What is sealed inside a glass jar?"", ""A lit candle""], [""A candle is inside what?"", ""a glass bottle""], [""What is on top of the glass jar with the candle in it?"", ""a lid""], [""What is in the sealed jar?"", ""a lit candle""], [""What is a burning candle inside of?"", ""a sealed glass jar""], [""What kind of lid is on the glass bottle holding the candle?"", ""a sealed lid""], [""What kind of flame is in the bottle?"", ""a steady flame""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/712a29029099a1a4a85139666a6d6062407eb4511fa0d48789001413678ac91a.png,A lit candle is sitting inside a tightly sealed glass jar.,,What kind of flame is inside a tightly sealed glass jar?,a steady flame,,What is inside the bottle?,A candle,"""A gentle flame encased in glass, illuminating the calmness of simplicity.""","[""A lit candle is sitting inside a tightly sealed glass jar."", ""a lit candle in a sealed jar"", ""A candle with a steady flame is inside a glass bottle with a sealed lid"", ""A burning candle is inside a sealed glass jar."", ""A burning candle in a glass jar with a lid on it.""]",712a29029099a1a4a85139666a6d6062407eb4511fa0d48789001413678ac91a
17,A woman in a coal mine with long clean fingernails,"Mining is hard physical hands-labor, so a miner cannot have such long nails because they would break off.","[[""Who is showing off her long fingernails?"", ""A construction worker""], [""Who is holding up her hand to show very long fingernails?"", ""A female miner""], [""Who is depicted in this image?"", ""a female coalminer""], [""A female miner wears a helmet with what accessory?"", ""a headlamp""], [""What is the female miner holding up to show long fingernails?"", ""her hand""], [""What does the female coal miner raise in the picture?"", ""her hands""], [""What is the construction worker showing?"", ""her long finger nails""], [""What kind of manicure does the coal miner have?"", ""long acrylic""], [""What does a coal miner have acrylic on?"", ""nails""], [""What is the female miner displaying on her hand?"", ""very long fingernails""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/a57f31986d2e590cc1ca3524f92126b030496f97933787e15e9c7cc57aa2ee7b.png,A coal mine worker is working with long acrylic manicured nails,,What is the female miner holding up to show long fingernails?,hand,,Who is showing off her long fingernails,A construction worker,"""Breaking Stereotypes: A Miner with Style and Strength""","[""A female miner is holding up her hand to show very long fingernails."", ""a female coalminer raising her hands and long fingernails"", ""A female miner wearing a helmet with a headlamp has exceptionally long manicured fingernails"", ""A construction worker is showing her long finger nails."", ""A coal mine worker is working with long acrylic manicured nails.""]",a57f31986d2e590cc1ca3524f92126b030496f97933787e15e9c7cc57aa2ee7b
18,uncooked steak on a plate with knife and fork,"It is unlikely to see a raw steak as a meal because most steaks go through some kind of cooking process before serving, and raw meat is served chopped most of the time to make it easy to eat.","[[""What is served with raw meat?"", ""The plate""], [""What was served on a plate with eating utensils on the side?"", ""a raw stake""], [""What is on the plate with the steak?"", ""garnishes""], [""What is served on the plate?"", ""raw meat""], [""What is being served on the dish with garnish?"", ""raw steak""], [""A dinner plate with a serving of what?"", ""uncooked steak""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/4316292086cd84669de72cd5898173dc07f5ca1c575dfdd7d224618f53406234.png,The plate is served with raw meat.,,what is the color of the plate that served raw meat?,white,,What was served on a plate with eating utensils on the side?,a raw stake,"""Elegantly plated raw steak garnished with fresh herbs, ready for a gourmet culinary creation.""","[""a raw stake served on a plate with eating utensils on the side"", ""A piece of raw steak being served on a dish with garnish."", ""The plate is served with raw meat."", ""A piece of raw steak with garnishes on a plate."", ""A dinner plate with a serving of uncooked steak""]",4316292086cd84669de72cd5898173dc07f5ca1c575dfdd7d224618f53406234
19,an old house in the desert with a lightning bolt and a clear sky,"Lightning is created by electrical voltage in the atmosphere and is usually associated with thunderstorms, which are associated with turbulent air, so it is unlikely to be seen on a clear, sunny day.","[[""What type of lightning strikes near an old building?"", ""A bolt""], [""What is struck by lightning on a sunny day in the desert?"", ""A dilapidated house""], [""Out of what kind of sky does the bolt of lightning strike?"", ""a clear sky""], [""On what kind of day does lightning crack near a house?"", ""a cloudless day""], [""What was struck by lightning on a clear sunny day?"", ""a dilapidated shack""], [""Near what does the lightning strike?"", ""an old building""], [""What can be heard on a cloudless day near a house?"", ""lightning cracks""], [""What happens near the old building?"", ""lightning strikes""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9c8838d168c6c674aaa2cf12f687764cbeac831c09c94c12275f3d0ee9733a68.png,Lightning striking a dilapidated shack on a clear sunny day.,,What is struck by lightning on a sunny day in the desert?,dilapidated shack,,On what kind of day does lightning crack near a house?,a cloudless day,"""Nature's Fury: A lightning bolt strikes an abandoned house in the desolate desert, highlighting the power and unpredictability of the elements.""","[""A bolt of lightning strikes near an old building out of a clear sky."", ""lightning cracks near a house on a cloudless day"", ""A dilapidated house located in the desert is struck by lightning on a sunny clear day."", ""Lightning striking a dilapidated shack on a clear sunny day."", ""Lightning strikes a small building on a clear day with blue skies""]",9c8838d168c6c674aaa2cf12f687764cbeac831c09c94c12275f3d0ee9733a68
20,a painting of tupac standing next to a gas pump,"Tupac Shakur was murdered in 1996, and the first Tesla Supercharger station was invented in 2012, so he could not be seen standing near one.","[[""What type of power station is Tupac Shakur standing next to?"", ""EV""], [""Who is charging his electric vehicles?"", ""Rapper Tupac Shakur""], [""What kind of car is Tupac Shakur standing next to?"", ""Tesla""], [""Who is standing next to a Tesla vehicle and its charging station?"", ""The rap artist Tupac Shakur""], [""Which rap artist is pictured next to a Tesla vehicle and charging station?"", ""Tupac Shakur""], [""What is Tupac Shakur standing next to?"", ""an EV power station""], [""What was Tupac Shakur charging?"", ""his electric vehicle""], [""What is Tupac Shakur charging?"", ""his electric vehicles""], [""What is next to the Tesla vehicle that Tupac Shakur is standing next to?"", ""station""], [""Who is charging his tesla car at a charging station?"", ""tpac""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/32bafb7a1ca212bfeb8330bcd45447e66ab35f1419276661c91cdde3dc4d8051.png,The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.,"the caption need fix - its tupac, not his painting",What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?,red,,Who is charging his electric vehicles?,Rapper Tupac Shakur,"""Charging up for the future: A blend of classic style and modern technology.""","[""Rapper Tupac Shakur is charging his electric vehicles."", ""tpac charging his tesla car at a charging station"", ""The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station."", ""Tupac Shakur charging his electric vehicle."", ""Rapper Tupac Shakur is standing next to an EV power station.""]",32bafb7a1ca212bfeb8330bcd45447e66ab35f1419276661c91cdde3dc4d8051
21,a painting of a woman looking at a figure of herself in a mirror with unmatched clothes,"A mirror reflects what is in front of it, so it cannot reflect a woman with a different appearance.","[[""Who is wearing a white dress with a pink flower print and looking in a mirror?"", ""A woman""], [""What is the girl reflected in the mirror wearing?"", ""a different dress and hair style""], [""What does a woman's reflection in a mirror show?"", ""a different person""], [""What does the woman in the mirror see herself wearing?"", ""a green dress""], [""What kind of print is on the woman's dress?"", ""a pink flower print""], [""What is a woman's mirror reflection wearing?"", ""different clothes""], [""Whose image is reflected in the mirror?"", ""the girl""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/52c26363ef8234d72c6b8450f32cddb53a4023e6a206e17a0fbaa7d1758f8660.png,A woman's mirror reflection is wearing different clothes.,,what is the difference between the woman shirt color and the womans reflection shirt color?,pink flower print vs green dress,,Who is wearing a white dress with a pink flower print and looking in a mirror?,A woman,"""Lost in reflection, she contemplates the world beyond the mirror.""","[""A woman's reflection in a mirror shows a different person."", ""A woman wearing a white dress with a pink flower print looks at her reflection in a mirror wearing a green dress."", ""A brunette female staring into a mirror with the reflection of a different woman staring back."", ""A woman's mirror reflection is wearing different clothes."", ""The mirror is reflecting the image of the girl wearing a different dress and hair style.""]",52c26363ef8234d72c6b8450f32cddb53a4023e6a206e17a0fbaa7d1758f8660
