question,normal gold answers,normal answer,yes or no,weird gold answers,weird answer,yes or no,
what is the color of the kiwi birs?,brown and green,Brown,yes,brown and green,Brown,yes,
how many pyramids are in the image?,3,Three,yes,1,One pyramid.,yes,
what is the color of the world's cup trophy?,gold,Gold,yes,gold,Gold,yes,
what is the color of the polar bear?,white,White,yes,white,White,yes,
how many ears does the hippopotamus has?,2,Two ears.,yes,2,Two ears.,yes,
what is the color of little hood's cape?,red,Red,yes,red,Red,yes,
what is the color of the mans' suits?,black,Black.,yes,black,Black.,yes,
what is the skin color of kanye west?,brown,I don't know.,no,brown,I don't know.,no,
what is the color of the pinguins feet?,black,Black,yes,black,Black,yes,
how many teeth does the walrus has?,2,Eighteen to twenty-four.,no,2,Eighteen to twenty-four.,no,ידע העולם
what are the colors of the panda bear?,black and white,"Black, white.",yes,black and white,"Black, white.",yes,
what is the color of the orchid?,purple,Purple and yellow.,yes,white,White,yes,
how many wings does the butterfly has?,4,Four wings,yes,4,Four wings,yes,
how many kegs does the ostrch has?,2,Two legs.,yes,2,Two legs,yes,
where is the camel located?,in the desert,Desert.,yes,in the desert,Desert.,yes,
what is the color of the ocean in the image?,blue,Blue-green,yes,blue,Deep blue,yes,
what is the man's hairstyle?,curly,"Curly, long.",yes,curly,"Curly, long",yes,
how many trees are in the image?,4,Seven trees,no,4,Five trees.,no,
what is the name of the newspaper princess diana is reading?,dalannas,Dalannas,yes,dalannas,DALANNAS,yes,
how many buildings are in the twin towers?,2,Two buildings.,yes,2,Two buildings,yes,
what is steav jobs wearing?,black golf,I don't know.,no,black golf,I don't know.,no,
what is the color of the cowboy's hat?,white,White,yes,white,White,no,
